Timestamp,GYRO_X,GYRO_Y,GYRO_Z,ACCEL_X,ACCEL_Y,ACCEL_Z,MAG_X,MAG_Y,MAG_Z,FDC,REED1,REED2
2019-08-1213:11:51.7630,-0.7,0.98,0.72,-2.05,-4.01,-8.21,-6.69,27.75,56.38,11.779,1,0
2019-08-1213:11:51.9170,-0.65,0.25,1.64,-2.05,-4.01,-8.21,19,1.62,50.13,11.823,0,1
2019-08-1213:11:52.0680,-0.65,0.25,1.64,-2.05,-4.01,-8.21,2.37,-15.63,49.56,11.801,0,1
2019-08-1213:11:52.0910,-0.65,0.25,1.64,-2.05,-4.01,-8.21,-15,-22.87,49.56,12.044,0,1
2019-08-1213:11:52.2480,-0.65,0.25,1.64,4.43,5.34,-4.65,-15,-22.87,49.56,12.036,0,1
2019-08-1213:11:52.2710,-0.65,0.25,1.64,0.68,6.87,-8.21,-15,-22.87,49.56,12.043,0,1
2019-08-1213:11:52.4290,-0.65,0.25,1.64,0.68,6.87,-8.21,-15,-22.87,49.56,11.935,0,1
2019-08-1213:11:52.4530,-0.7,0.48,0.34,0.68,6.87,-8.21,-15,-22.87,49.56,12.12,1,0
2019-08-1213:11:52.6070,-0.33,-0.02,0.46,0.68,6.87,-8.21,-15,-22.87,49.56,12.191,0,1
2019-08-1213:11:52.7750,0.59,1.29,4.85,0.68,6.87,-8.21,-15,-22.87,37.25,11.771,0,0
2019-08-1213:11:52.7990,-0.14,0.02,0.56,0.68,6.87,-8.21,-42.19,14.25,36.38,12.017,0,0
2019-08-1213:11:52.9590,-0.14,0.02,0.56,0.68,6.87,-8.21,-8.31,48.94,33.56,11.919,1,0
2019-08-1213:11:52.9830,-0.14,0.02,0.56,0.68,6.87,-8.21,-8.75,46.75,38.06,11.945,1,1
2019-08-1213:11:53.1380,-0.14,0.02,0.56,0.68,6.87,-8.21,0.69,50.25,38.06,12.055,1,0
2019-08-1213:11:53.2930,-0.14,0.02,0.56,1.36,6.64,-7.87,0.69,50.25,38.06,11.946,1,0
2019-08-1213:11:53.3170,-0.14,0.02,0.56,0.56,5.07,-7.91,0.69,50.25,38.06,11.935,1,0
2019-08-1213:11:53.4670,-0.14,0.02,0.56,1.52,6.14,-7.72,0.69,50.25,38.06,11.926,1,0
2019-08-1213:11:53.4900,-0.14,0.02,0.56,1.4,6.57,-7.76,0.69,50.25,38.06,11.913,1,1
2019-08-1213:11:53.6480,-0.14,0.02,0.56,1.4,6.57,-7.76,0.69,50.25,38.06,11.933,1,1
2019-08-1213:11:53.8030,0.37,-0.21,-0.16,1.4,6.57,-7.76,0.69,50.25,38.06,11.934,1,1
2019-08-1213:11:53.8260,-0.03,0.13,0.14,1.48,5.84,-7.22,0.69,50.25,38.06,11.927,1,1
2019-08-1213:11:53.9770,-0.03,0.13,0.14,1.48,5.84,-7.22,0.69,50.25,41.25,11.88,1,1
2019-08-1213:11:54.0000,-0.06,0.01,0,1.48,5.84,-7.22,17.5,40.88,44.5,11.882,1,1
2019-08-1213:11:54.1490,-0.06,0.01,0,1.48,5.84,-7.22,24,34.31,52,11.875,1,1
2019-08-1213:11:54.1730,-0.06,0.01,0,1.48,5.84,-7.22,18.5,11.88,52,11.917,1,1
2019-08-1213:11:54.3300,-0.06,0.01,0,1.48,5.84,-7.22,18.5,11.88,5.69,12.151,1,1
2019-08-1213:11:54.3540,0.15,0.08,0.63,1.48,5.84,-7.22,2.37,12.81,5.69,12.179,1,1
2019-08-1213:11:54.5120,0.15,0.08,0.63,1.48,5.84,-7.22,2.37,12.81,5.69,12.17,1,1
2019-08-1213:11:54.6680,2.71,-1.84,-2.02,1.48,5.84,-7.22,2.37,12.81,5.69,11.951,1,1
2019-08-1213:11:54.6910,2.78,0.39,-0.68,-1.78,-1.21,-9.33,2.37,12.81,5.69,11.666,1,1
2019-08-1213:11:54.8460,2.78,0.39,-0.68,-4.69,-2.67,-8.06,2.37,12.81,5.69,11.876,1,1
2019-08-1213:11:54.8700,2.78,0.39,-0.68,-5.03,-4.54,-4.88,2.37,12.81,5.69,12.14,1,1
2019-08-1213:11:55.0200,2.78,0.39,-0.68,-5.03,-4.54,-4.88,2.37,12.81,5.69,12.197,1,1
2019-08-1213:11:55.1710,-2.25,4.48,0.65,-5.03,-4.54,-4.88,2.37,12.81,-13,12.233,1,1
2019-08-1213:11:55.1940,-1.94,4.39,0.61,-5.03,-4.54,-4.88,9.56,56.56,-18.94,11.877,1,1
2019-08-1213:11:55.3510,-1.94,4.39,0.61,-5.03,-4.54,-4.88,12.81,62.63,-25.5,12.054,1,1
2019-08-1213:11:55.3740,-1.94,4.39,0.61,-5.03,-4.54,-4.88,12.75,61.56,-25.5,12.202,1,1
2019-08-1213:11:55.5260,-1.94,4.39,0.61,-0.7,-3.12,-11.16,12.75,61.56,-25.5,12.107,1,1
2019-08-1213:11:55.5500,-1.94,4.39,0.61,-0.7,-3.12,-11.16,12.75,61.56,-25.5,11.554,1,1
2019-08-1213:11:55.7070,-1.95,5.49,-0.13,-0.7,-3.12,-11.16,12.75,61.56,-25.5,11.827,1,1
