Timestamp,GYRO_X,GYRO_Y,GYRO_Z,ACCEL_X,ACCEL_Y,ACCEL_Z,MAG_X,MAG_Y,MAG_Z,FDC,REED1,REED2,CAP_STATUS
2019-08-1413:15:07.4470,-0.15,-0.61,-0.13,7.36,-2.85,-3.58,-51.06,3.62,104.25,11.86,1,0,ON,
2019-08-1413:15:07.5660,0.17,-3.59,-0.62,7.36,-2.85,-3.58,-51.06,3.62,104.25,11.86,1,0,ON,
2019-08-1413:15:07.6560,0.17,-3.59,-0.62,7.36,-2.85,-3.58,-44.56,10.13,104.25,12.115,1,0,ON,
2019-08-1413:15:07.7460,0.17,-3.59,-0.62,7.36,-2.85,-3.58,-23.25,14.69,100.31,12.237,1,0,ON,
2019-08-1413:15:07.8360,-8.61,1.78,-2.66,7.36,-2.85,-3.58,-23.25,14.69,102.56,12.31,1,0,ON,
2019-08-1413:15:07.9560,-3.3,2.03,3.42,7.36,-2.85,-3.58,-23.25,14.69,102.56,11.604,1,0,ON,
2019-08-1413:15:08.0460,-3.3,2.03,3.42,10.04,3.89,-4.12,-23.25,14.69,102.56,11.679,1,0,ON,
2019-08-1413:15:08.1660,12.63,-6.64,3.73,10.04,3.89,-4.12,-23.25,14.69,102.56,11.736,1,0,ON,
2019-08-1413:15:08.2560,2.39,-6.5,2.43,10.04,3.89,-4.12,-23.25,14.69,102.56,11.64,1,0,ON,
2019-08-1413:15:08.3460,-11.47,-2.49,-0.47,10.04,3.89,-4.12,-23.25,14.69,102.56,11.75,1,0,ON,
2019-08-1413:15:08.4360,-10.54,-1.02,-1.85,10.04,3.89,-4.12,-23.25,14.69,102.56,11.936,1,0,ON,
2019-08-1413:15:08.5560,0.05,3.04,6.93,10.04,3.89,-4.12,-23.25,14.69,102.56,11.689,1,0,ON,
2019-08-1413:15:08.6460,0.05,3.04,6.93,10.04,3.89,-4.12,-60.44,-30.12,102.56,11.895,1,0,ON,
2019-08-1413:15:08.7360,0.05,3.04,6.93,10.04,3.89,-4.12,-52.0,20.5,107.81,11.901,1,0,ON,
2019-08-1413:15:08.8260,0.05,3.04,6.93,5.82,-4.69,-3.39,-52.0,20.5,90.19,11.329,1,0,ON,
2019-08-1413:15:08.9460,0.05,3.04,6.93,5.71,-6.3,-4.39,-52.0,20.5,90.19,11.106,1,0,ON,
2019-08-1413:15:09.0360,0.05,3.04,6.93,5.29,-6.22,-7.91,-52.0,20.5,90.19,11.71,1,0,ON,
2019-08-1413:15:09.1560,0.05,3.04,6.93,5.29,-6.22,-7.91,-42.56,11.44,90.19,12.048,1,0,ON,
2019-08-1413:15:09.2480,0.05,3.04,6.93,3.71,0.71,-8.37,-42.56,11.44,103.12,12.193,1,0,ON,
2019-08-1413:15:09.3360,-0.6,2.09,2.58,3.71,0.71,-8.37,-42.56,11.44,103.12,12.072,1,0,ON,
2019-08-1413:15:09.4260,2.45,-0.69,2.91,3.71,0.71,-8.37,-42.56,11.44,103.12,12.049,1,0,ON,
2019-08-1413:15:09.5460,2.45,-0.69,2.91,6.44,4.58,-10.4,-42.56,11.44,103.12,12.178,1,0,ON,
2019-08-1413:15:09.6360,-1.33,-7.62,-0.04,6.44,4.58,-10.4,-42.56,11.44,103.12,12.274,1,0,ON,
2019-08-1413:15:09.7260,-6.81,3.95,-0.86,6.44,4.58,-10.4,-42.56,11.44,103.12,12.038,1,0,ON,
2019-08-1413:15:09.8260,-6.81,3.95,-0.86,6.44,4.58,-10.4,-41.69,-43.56,103.12,11.778,1,0,ON,
2019-08-1413:15:09.9360,3.03,4.96,8.28,6.44,4.58,-10.4,-41.69,-43.56,108.56,11.961,1,0,ON,
2019-08-1413:15:10.0420,3.03,4.96,8.28,6.44,4.58,-10.4,-68.75,14.0,108.56,12.027,1,0,ON,
2019-08-1413:15:10.1460,3.0,-2.1,0.65,6.44,4.58,-10.4,-68.75,14.0,79.37,10.532,1,0,ON,
2019-08-1413:15:10.2360,3.0,-2.1,0.65,5.36,-7.22,-3.24,-68.75,14.0,79.37,10.237,1,0,ON,
2019-08-1413:15:10.3260,3.0,-2.1,0.65,2.72,-3.0,-9.25,-68.75,14.0,79.37,11.252,1,0,ON,
2019-08-1413:15:10.4160,-10.82,-2.52,0.16,2.72,-3.0,-9.25,-68.75,14.0,79.37,12.101,1,0,ON,
2019-08-1413:15:10.5360,-1.92,3.92,5.39,2.72,-3.0,-9.25,-68.75,14.0,79.37,11.689,1,0,ON,
2019-08-1413:15:10.6260,1.05,4.16,6.19,2.72,-3.0,-9.25,-68.75,14.0,79.37,11.645,1,0,ON,
