Timestamp,GYRO_X,GYRO_Y,GYRO_Z,ACCEL_X,ACCEL_Y,ACCEL_Z,MAG_X,MAG_Y,MAG_Z,FDC,REED1,REED2,CAP_STATUS
2019-08-1210:55:12.9450,0.06,-0.07,-0.04,6.47,3.03,-7.05,-18.87,-34.63,16.69,13.83,1,0,ON
2019-08-1210:55:13.0340,0.06,-0.07,-0.04,7.47,1.19,-5.44,-18.87,-34.63,16.69,13.869,1,0,ON
2019-08-1210:55:13.1250,-0.01,-1.49,-1.78,7.47,1.19,-5.44,-18.87,-34.63,16.69,13.938,1,0,ON
2019-08-1210:55:13.2150,-1.12,-2.83,-0.42,7.47,1.19,-5.44,-18.87,-34.63,16.69,13.824,1,0,ON
2019-08-1210:55:13.3340,-2.34,-2.88,-3.05,7.47,1.19,-5.44,-18.87,-34.63,16.69,13.481,1,0,ON
2019-08-1210:55:13.4240,-2.34,-2.88,-3.05,7.47,1.19,-5.44,6,-42.31,-2.81,12.371,1,0,ON
2019-08-1210:55:13.5440,-2.34,-2.88,-3.05,7.47,1.19,-5.44,23,-26.75,-25.62,12.678,1,0,ON
2019-08-1210:55:13.6350,-2.34,-2.88,-3.05,-9.58,5.48,3.56,23,-26.75,-25.62,12.348,1,0,ON
2019-08-1210:55:13.7240,2.25,-2.15,12.01,-9.58,5.48,3.56,23,-26.75,-25.62,11.989,1,0,ON
2019-08-1210:55:13.8140,2.25,-2.15,12.01,-9.58,5.48,3.56,-35.94,-6.44,-28.25,12.336,1,0,ON
2019-08-1210:55:13.9340,7.35,-2.22,0.79,-9.58,5.48,3.56,-35.94,-6.44,-28.25,13.717,1,0,ON
2019-08-1210:55:14.0240,11.14,-7.24,-3.79,-9.58,5.48,3.56,-35.94,-6.44,-28.25,14.413,1,0,ON
2019-08-1210:55:14.1140,11.14,-7.24,-3.79,0.11,0.61,-11.95,-35.94,-6.44,-28.25,14.222,1,0,ON
2019-08-1210:55:14.2050,-5.97,-6.52,-1.54,0.11,0.61,-11.95,-35.94,-6.44,-28.25,13.447,1,0,ON
2019-08-1210:55:14.3240,-7.54,-4.72,0,0.11,0.61,-11.95,-35.94,-6.44,-28.25,13.169,1,0,ON
2019-08-1210:55:14.4440,-6.65,-1.97,1.79,0.11,0.61,-11.95,-35.94,-6.44,-28.25,12.679,1,0,ON
2019-08-1210:55:14.5340,0.36,0.87,9.19,0.11,0.61,-11.95,-35.94,-6.44,-28.25,11.403,1,0,ON
2019-08-1210:55:14.6240,3.91,-2.5,7,0.11,0.61,-11.95,-35.94,-6.44,-28.25,11.07,1,0,ON
