Timestamp,GYRO_X,GYRO_Y,GYRO_Z,ACCEL_X,ACCEL_Y,ACCEL_Z,MAG_X,MAG_Y,MAG_Z,FDC,REED1,REED2,CAP_STATUS
2019-08-1411:35:34.2600,0.23,-0.08,0.1,4.74,-3.03,-8.22,-1.94,5.75,43.5,12.124,0,1,ON,
2019-08-1411:35:34.3800,-0.09,-0.26,0.01,4.74,-3.03,-8.22,-1.94,5.75,43.5,12.124,0,1,ON,
2019-08-1411:35:34.4700,-0.08,-0.27,0.03,4.74,-3.03,-8.22,-1.94,5.75,43.5,12.123,0,1,ON,
2019-08-1411:35:34.5900,-0.1,-0.36,0.16,4.74,-3.03,-8.22,-1.94,5.75,43.5,12.126,0,1,ON,
2019-08-1411:35:34.6800,-0.5,-1.16,0.33,4.74,-3.03,-8.22,-1.94,5.75,43.5,12.145,0,1,ON,
2019-08-1411:35:34.7700,-0.5,-1.16,0.33,4.74,-3.03,-8.22,20.69,0.06,43.5,12.326,0,1,ON,
2019-08-1411:35:34.8600,-0.5,-1.16,0.33,4.74,-3.03,-8.22,34.5,-10.56,37.38,12.308,0,1,ON,
2019-08-1411:35:34.9800,4.47,1.63,-3.68,4.74,-3.03,-8.22,34.5,-10.56,19.81,12.085,0,1,ON,
2019-08-1411:35:35.0950,4.47,1.63,-3.68,4.74,-3.03,-8.22,25.69,27.62,19.81,11.846,0,1,ON,
2019-08-1411:35:35.1600,4.47,1.63,-3.68,4.74,-3.03,-8.22,-7.75,19.12,22.06,11.783,0,1,ON,
2019-08-1411:35:35.2500,4.47,1.63,-3.68,4.78,-4.41,-8.76,-7.75,19.12,39.38,11.818,0,1,ON,
2019-08-1411:35:35.3700,4.47,1.63,-3.68,-0.16,1.53,-6.46,-7.75,19.12,39.38,12.365,0,1,ON,
2019-08-1411:35:35.4900,2.64,-1.43,-4.4,-0.16,1.53,-6.46,-7.75,19.12,39.38,12.254,0,1,ON,
2019-08-1411:35:35.5800,4.14,0.8,-1.94,-0.16,1.53,-6.46,-7.75,19.12,39.38,11.905,0,1,ON,
2019-08-1411:35:35.6700,0.96,3.14,1.92,-0.16,1.53,-6.46,-7.75,19.12,39.38,11.76,0,1,ON,
2019-08-1411:35:35.7600,-1.39,5.09,-0.85,-0.16,1.53,-6.46,-7.75,19.12,39.38,11.923,0,1,ON,
2019-08-1411:35:35.8500,-2.59,-2.96,2.47,-0.16,1.53,-6.46,-7.75,19.12,39.38,11.963,0,1,ON,
2019-08-1411:35:35.9700,-2.59,-2.96,2.47,-2.35,-0.5,-10.33,-7.75,19.12,39.38,12.416,0,1,ON,
2019-08-1411:35:36.0600,-2.59,-2.96,2.47,-3.61,1.49,-8.61,-7.75,19.12,39.38,12.19,0,1,ON,
2019-08-1411:35:36.1800,-2.59,-2.96,2.47,-3.61,1.49,-8.61,33.13,-24.94,39.38,12.101,0,1,ON,
2019-08-1411:35:36.2700,0.25,-0.28,-1.44,-3.61,1.49,-8.61,33.13,-24.94,10.44,12.01,0,1,ON,
2019-08-1411:35:36.3600,1.5,1.17,-2.58,-3.61,1.49,-8.61,33.13,-24.94,10.44,12.03,0,1,ON,
2019-08-1411:35:36.4500,2.57,5.32,-2.79,-3.61,1.49,-8.61,33.13,-24.94,10.44,12.012,0,1,ON,
2019-08-1411:35:36.5700,2.57,5.32,-2.79,1.25,-3.18,-6.35,33.13,-24.94,10.44,11.913,0,1,ON,
2019-08-1411:35:36.6600,2.57,5.32,-2.79,1.25,-3.18,-6.35,9.88,5.37,10.44,11.733,0,1,ON,
2019-08-1411:35:36.7500,-1.78,-6.52,-0.3,1.25,-3.18,-6.35,9.88,5.37,36.31,12.349,0,1,ON,
2019-08-1411:35:36.8400,-1.78,-6.52,-0.3,1.25,-3.18,-6.35,45.75,-11.44,36.31,11.61,0,1,ON,
2019-08-1411:35:36.9600,-1.78,-6.52,-0.3,-7.75,-3.99,-6.77,45.75,-11.44,-11.25,11.638,0,1,ON,
2019-08-1411:35:37.0500,1.65,7.66,-1.9,-7.75,-3.99,-6.77,45.75,-11.44,-11.25,11.758,0,1,ON,
2019-08-1411:35:37.1700,0.48,5.11,-2.39,-7.75,-3.99,-6.77,45.75,-11.44,-11.25,11.763,0,1,ON,
2019-08-1411:35:37.2600,-2.55,-0.34,-1.11,-7.75,-3.99,-6.77,45.75,-11.44,-11.25,11.646,0,1,ON,
2019-08-1411:35:37.3500,-2.55,-0.34,-1.11,5.73,-4.03,-7.19,45.75,-11.44,-11.25,12.02,0,1,ON,
2019-08-1411:35:37.4400,0.45,-3.69,-1.33,5.73,-4.03,-7.19,45.75,-11.44,-11.25,12.385,0,1,ON,
2019-08-1411:35:37.5600,0.45,-3.69,-1.33,-1.04,-0.7,-9.91,45.75,-11.44,-11.25,12.405,0,1,ON,
2019-08-1411:35:37.6510,-0.03,0.36,0.28,-1.04,-0.7,-9.91,45.75,-11.44,-11.25,12.377,0,1,ON,
2019-08-1411:35:37.7400,-0.04,0.08,0.07,-1.04,-0.7,-9.91,45.75,-11.44,-11.25,12.349,0,1,ON,
2019-08-1411:35:37.8300,-0.04,0.08,0.07,-1.04,-0.7,-9.91,18.44,2.12,-11.25,12.347,0,1,ON,
2019-08-1411:35:37.9500,-0.04,0.08,0.07,-1.04,-0.7,-9.91,17.87,4.62,37.19,12.373,0,1,ON,
2019-08-1411:35:38.0400,-0.04,0.08,0.07,2.25,-3.34,-8.8,17.87,4.62,40.25,12.31,0,1,ON,
2019-08-1411:35:38.1600,-0.04,0.08,0.07,2.29,-4.34,-9.57,17.87,4.62,40.25,12.156,0,1,ON,
2019-08-1411:35:38.2570,-0.31,2.41,-2.42,2.29,-4.34,-9.57,17.87,4.62,40.25,12.02,0,1,ON,
2019-08-1411:35:38.3590,-6.27,-5.69,5.04,2.29,-4.34,-9.57,17.87,4.62,40.25,11.556,0,1,ON,
2019-08-1411:35:38.4590,-5.22,-3.73,1.45,2.29,-4.34,-9.57,17.87,4.62,40.25,12.322,0,1,ON,
2019-08-1411:35:38.5650,-0.98,-0.75,-0.89,2.29,-4.34,-9.57,17.87,4.62,40.25,12.129,0,1,ON,
2019-08-1411:35:38.6700,2.1,2.74,-2.37,2.29,-4.34,-9.57,17.87,4.62,40.25,12.115,0,1,ON,
2019-08-1411:35:38.7760,2.1,2.74,-2.37,2.94,0.11,-10.68,17.87,4.62,40.25,12.249,0,1,ON,
2019-08-1411:35:38.8820,2.1,2.74,-2.37,2.94,0.11,-10.68,-19.69,7.75,40.25,11.993,0,1,ON,
2019-08-1411:35:38.9920,2.1,2.74,-2.37,2.94,0.11,-10.68,-25.56,9.56,34.31,11.85,0,1,ON,
2019-08-1411:35:39.1060,2.1,2.74,-2.37,2.94,0.11,-10.68,-21.69,7.44,32.5,11.937,0,1,ON,
2019-08-1411:35:39.2200,2.1,2.74,-2.37,6.5,0.22,-10.79,-21.69,7.44,35.13,12.285,0,1,ON,
2019-08-1411:35:39.3370,-0.21,-0.34,0.47,6.5,0.22,-10.79,-21.69,7.44,35.13,12.465,0,1,ON,
2019-08-1411:35:39.3490,0.57,1.58,-0.37,6.5,0.22,-10.79,-21.69,7.44,35.13,12.305,0,1,ON,
2019-08-1411:35:39.4620,0.68,1.73,-0.69,6.5,0.22,-10.79,-21.69,7.44,35.13,12.168,0,1,ON,
2019-08-1411:35:39.5860,0.59,0.88,-0.67,6.5,0.22,-10.79,-21.69,7.44,35.13,12.085,0,1,ON,
2019-08-1411:35:39.7080,0.18,-0.31,-0.64,6.5,0.22,-10.79,-21.69,7.44,35.13,12.057,0,1,ON,
2019-08-1411:35:39.8350,-0.03,-0.57,-0.65,6.5,0.22,-10.79,-21.69,7.44,35.13,12.08,0,1,ON,
2019-08-1411:35:39.8460,-0.03,-0.57,-0.65,6.5,0.22,-10.79,-12.75,3.62,35.13,12.084,0,1,ON,
2019-08-1411:35:39.9710,-0.03,-0.57,-0.65,6.5,0.22,-10.79,-9.63,4.06,39.19,12.113,0,1,ON,
2019-08-1411:35:40.0920,0.38,-0.31,-0.65,6.5,0.22,-10.79,-9.63,4.06,43.69,12.154,0,1,ON,
2019-08-1411:35:40.2180,0.14,-0.57,-0.86,6.5,0.22,-10.79,-9.63,4.06,43.69,12.219,0,1,ON,
2019-08-1411:35:40.3450,0.97,1.11,-0.77,6.5,0.22,-10.79,-9.63,4.06,43.69,12.179,0,1,ON,
2019-08-1411:35:40.3590,0.97,1.11,-0.77,6.77,-0.39,-6.58,-9.63,4.06,43.69,12.049,0,1,ON,
2019-08-1411:35:40.4850,-0.04,1.08,0.42,6.77,-0.39,-6.58,-9.63,4.06,43.69,11.949,0,1,ON,
2019-08-1411:35:40.6120,0.38,-1.21,-0.94,6.77,-0.39,-6.58,-9.63,4.06,43.69,11.656,0,1,ON,
2019-08-1411:35:40.6260,0.38,-1.21,-0.94,8.99,1.6,-2.29,-9.63,4.06,43.69,11.731,0,1,ON,
2019-08-1411:35:40.7640,0.38,-1.21,-0.94,8.23,1.22,-4.24,-9.63,4.06,43.69,11.638,0,1,ON,
2019-08-1411:35:40.9030,0.8,-2.11,0.31,8.23,1.22,-4.24,-9.63,4.06,43.69,11.877,0,1,ON,
2019-08-1411:35:41.0480,0.4,-3.1,-0.83,8.23,1.22,-4.24,-9.63,4.06,43.69,12.151,0,1,ON,
2019-08-1411:35:41.0610,0.19,-0.58,-1.2,8.23,1.22,-4.24,-9.63,4.06,43.69,12.291,0,1,ON,
2019-08-1411:35:41.2080,0.19,-0.58,-1.2,8.23,1.22,-4.24,-11.69,10.06,43.69,12.325,0,1,ON,
2019-08-1411:35:41.2220,-1.12,5.75,-1.4,8.23,1.22,-4.24,-11.69,10.06,43.88,12.043,0,1,ON,
2019-08-1411:35:41.3720,-2.05,1.62,1.13,8.23,1.22,-4.24,-11.69,10.06,43.88,11.151,0,1,ON,
2019-08-1411:35:41.5190,-0.58,-0.61,0.76,8.23,1.22,-4.24,-11.69,10.06,43.88,10.95,0,1,ON,
2019-08-1411:35:41.5320,0.37,-0.62,0.38,8.23,1.22,-4.24,-11.69,10.06,43.88,10.851,0,1,ON,
2019-08-1411:35:41.6800,0.37,-0.62,0.38,9.41,2.41,-2.09,-11.69,10.06,43.88,11.334,0,1,ON,
2019-08-1411:35:41.8270,0.37,-0.62,0.38,9.18,2.14,-2.06,-11.69,10.06,43.88,11.321,0,1,ON,
2019-08-1411:35:41.9730,-0.03,-0.58,0.12,9.18,2.14,-2.06,-11.69,10.06,43.88,11.345,0,1,ON,
2019-08-1411:35:41.9860,0.02,-0.39,0.25,9.18,2.14,-2.06,-11.69,10.06,43.88,11.52,0,1,ON,
2019-08-1411:35:42.1300,0.02,-0.39,0.25,9.18,2.14,-2.06,-35.13,6.5,43.88,11.642,0,1,ON,
2019-08-1411:35:42.1430,0.02,-0.39,0.25,9.18,2.14,-2.06,-33.63,8.38,24.06,11.717,0,1,ON,
2019-08-1411:35:42.2880,-0.04,0.21,0.0,9.18,2.14,-2.06,-33.63,8.38,28.06,11.725,0,1,ON,
2019-08-1411:35:42.3020,0.07,-0.1,0.18,9.18,2.14,-2.06,-33.63,8.38,28.06,11.704,0,1,ON,
2019-08-1411:35:42.4470,1.25,-1.77,0.31,9.18,2.14,-2.06,-33.63,8.38,28.06,11.359,0,1,ON,
2019-08-1411:35:42.5890,0.05,0.35,-3.13,9.18,2.14,-2.06,-33.63,8.38,28.06,12.139,0,1,ON,
2019-08-1411:35:42.6030,0.05,0.35,-3.13,2.06,3.25,-4.82,-33.63,8.38,28.06,12.062,0,1,ON,
2019-08-1411:35:42.7440,-0.52,0.1,1.36,2.06,3.25,-4.82,-33.63,8.38,28.06,11.515,0,1,ON,
2019-08-1411:35:42.8900,-0.52,0.1,1.36,2.06,3.25,-4.82,-36.81,-0.19,28.06,11.418,0,1,ON,
2019-08-1411:35:42.9030,-0.52,0.1,1.36,2.06,3.25,-4.82,-36.81,3.37,21.25,11.579,0,1,ON,
2019-08-1411:35:43.0490,-0.52,0.1,1.36,2.06,3.25,-4.82,-38.94,1.94,21.69,11.484,0,1,ON,
2019-08-1411:35:43.1930,-0.52,0.1,1.36,2.06,3.25,-4.82,-36.75,1.0,18.56,11.478,0,1,ON,
2019-08-1411:35:43.2070,-0.52,0.1,1.36,7.27,3.71,-3.7,-36.75,1.0,25.69,11.621,0,1,ON,
2019-08-1411:35:43.3500,-0.52,0.1,1.36,7.96,3.71,-4.74,-36.75,1.0,25.69,11.732,0,1,ON,
2019-08-1411:35:43.4940,0.52,-0.36,-0.16,7.96,3.71,-4.74,-36.75,1.0,25.69,11.968,0,1,ON,
2019-08-1411:35:43.5080,0.58,-0.99,-0.68,7.96,3.71,-4.74,-36.75,1.0,25.69,11.987,0,1,ON,
2019-08-1411:35:43.6500,0.58,-0.99,-0.68,7.96,3.71,-4.74,-16.56,1.25,25.69,12.044,0,1,ON,
2019-08-1411:35:43.7910,0.9,-0.6,-0.79,7.96,3.71,-4.74,-16.56,1.25,44.94,12.212,0,1,ON,
2019-08-1411:35:43.8050,-0.04,0.73,0.04,7.96,3.71,-4.74,-16.56,1.25,44.94,12.278,0,1,ON,
2019-08-1411:35:43.9480,-1.27,3.06,0.08,7.96,3.71,-4.74,-16.56,1.25,44.94,12.246,0,1,ON,
2019-08-1411:35:44.0930,-1.05,1.78,2.11,7.96,3.71,-4.74,-16.56,1.25,44.94,11.931,0,1,ON,
2019-08-1411:35:44.1070,-1.05,1.78,2.11,7.96,3.71,-4.74,-35.0,9.5,44.94,11.318,0,1,ON,
2019-08-1411:35:44.2430,-1.05,1.78,2.11,9.18,2.45,-4.78,-35.0,9.5,22.12,11.578,0,1,ON,
2019-08-1411:35:44.3770,-0.67,-3.12,0.56,9.18,2.45,-4.78,-35.0,9.5,22.12,11.813,0,1,ON,
2019-08-1411:35:44.3900,-1.21,-5.16,0.11,9.18,2.45,-4.78,-35.0,9.5,22.12,11.942,0,1,ON,
2019-08-1411:35:44.5330,-1.99,-4.77,-0.45,9.18,2.45,-4.78,-35.0,9.5,22.12,12.141,0,1,ON,
2019-08-1411:35:44.6790,-1.99,-4.77,-0.45,9.18,2.45,-4.78,24.94,-11.38,22.12,12.147,0,1,ON,
2019-08-1411:35:44.8230,-3.29,-5.87,-2.05,9.18,2.45,-4.78,24.94,-11.38,31.31,11.308,0,1,ON,
2019-08-1411:35:44.8360,-3.29,-5.87,-2.05,-5.79,4.21,5.14,24.94,-11.38,31.31,11.222,0,1,ON,
2019-08-1411:35:44.9770,0.16,1.12,0.09,-5.79,4.21,5.14,24.94,-11.38,31.31,10.799,0,1,ON,
2019-08-1411:35:44.9900,0.16,1.12,0.09,-5.79,4.21,5.14,42.69,-8.75,31.31,10.276,0,1,ON,
2019-08-1411:35:45.1320,0.16,1.12,0.09,-5.79,4.21,5.14,44.0,-8.69,-13.44,10.002,0,1,ON,
2019-08-1411:35:45.2740,0.16,1.12,0.09,-1.39,5.74,-4.82,44.0,-8.69,0.06,10.429,0,1,ON,
2019-08-1411:35:45.2870,2.6,5.12,0.66,-1.39,5.74,-4.82,44.0,-8.69,0.06,11.434,0,1,ON,
2019-08-1411:35:45.4260,1.73,6.56,-0.13,-1.39,5.74,-4.82,44.0,-8.69,0.06,12.088,0,1,ON,
2019-08-1411:35:45.5690,1.03,4.85,0.09,-1.39,5.74,-4.82,44.0,-8.69,0.06,11.421,0,1,ON,
2019-08-1411:35:45.5820,0.87,1.68,0.12,-1.39,5.74,-4.82,44.0,-8.69,0.06,10.791,0,1,ON,
2019-08-1411:35:45.7260,0.05,-2.6,0.55,-1.39,5.74,-4.82,44.0,-8.69,0.06,10.939,0,1,ON,
2019-08-1411:35:45.8630,0.68,-2.35,1.11,-1.39,5.74,-4.82,44.0,-8.69,0.06,11.626,0,1,ON,
2019-08-1411:35:46.0010,0.68,-2.35,1.11,-1.39,5.74,-4.82,-35.06,14.13,0.06,11.964,0,1,ON,
2019-08-1411:35:46.0130,-0.21,-0.1,-0.06,-1.39,5.74,-4.82,-35.06,14.13,28.5,11.94,0,1,ON,
2019-08-1411:35:46.1560,0.44,1.33,0.05,-1.39,5.74,-4.82,-35.06,14.13,28.5,11.941,0,1,ON,
2019-08-1411:35:46.2980,0.44,1.33,0.05,9.22,1.49,-4.09,-35.06,14.13,28.5,11.91,0,1,ON,
2019-08-1411:35:46.3120,0.44,1.33,0.05,9.22,1.49,-4.09,-42.75,15.0,28.5,11.538,0,1,ON,
2019-08-1411:35:46.4470,0.58,0.19,-1.32,9.22,1.49,-4.09,-42.75,15.0,4.44,11.299,0,1,ON,
2019-08-1411:35:46.5890,-0.08,-0.62,-0.58,9.22,1.49,-4.09,-42.75,15.0,4.44,11.29,0,1,ON,
2019-08-1411:35:46.6020,0.23,-0.07,-0.72,9.22,1.49,-4.09,-42.75,15.0,4.44,11.304,0,1,ON,
2019-08-1411:35:46.7420,0.81,0.47,-0.27,9.22,1.49,-4.09,-42.75,15.0,4.44,11.354,0,1,ON,
2019-08-1411:35:46.8790,0.81,0.47,-0.27,9.34,3.63,-3.74,-42.75,15.0,4.44,11.43,0,1,ON,
2019-08-1411:35:46.8920,-1.91,-0.38,-0.69,9.34,3.63,-3.74,-42.75,15.0,4.44,11.929,0,1,ON,
2019-08-1411:35:47.0340,-1.91,-0.38,-0.69,9.11,4.55,-1.71,-42.75,15.0,4.44,11.44,0,1,ON,
2019-08-1411:35:47.1830,-1.91,-0.38,-0.69,13.63,11.1,3.8,-42.75,15.0,4.44,10.983,0,1,ON,
2019-08-1411:35:47.1950,-1.91,-0.38,-0.69,6.35,6.81,-0.33,-42.75,15.0,4.44,10.577,0,1,ON,
2019-08-1411:35:47.3350,-1.91,-0.38,-0.69,6.35,6.81,-0.33,-33.25,9.81,4.44,11.915,0,1,ON,
2019-08-1411:35:47.3470,-3.15,-0.28,1.21,6.35,6.81,-0.33,-33.25,9.81,25.06,12.236,0,1,ON,
2019-08-1411:35:47.4890,-3.84,-1.24,3.09,6.35,6.81,-0.33,-33.25,9.81,25.06,12.167,0,1,ON,
2019-08-1411:35:47.6310,-0.08,-1.17,2.31,6.35,6.81,-0.33,-33.25,9.81,25.06,11.728,0,1,ON,
2019-08-1411:35:47.7750,1.58,0.55,-1.22,6.35,6.81,-0.33,-33.25,9.81,25.06,11.711,0,1,ON,
2019-08-1411:35:47.7890,1.65,0.06,-0.94,6.35,6.81,-0.33,-33.25,9.81,25.06,12.012,0,1,ON,
2019-08-1411:35:47.9290,1.65,0.06,-0.94,5.73,1.26,-7.19,-33.25,9.81,25.06,12.054,0,1,ON,
2019-08-1411:35:47.9430,1.65,0.06,-0.94,5.73,1.26,-7.19,-28.81,11.63,25.06,12.086,0,1,ON,
2019-08-1411:35:48.0860,-1.6,-1.8,2.36,5.73,1.26,-7.19,-28.81,11.63,28.56,12.054,0,1,ON,
2019-08-1411:35:48.2310,-1.6,-1.8,2.36,5.73,1.26,-7.19,-20.37,14.56,28.56,12.049,0,1,ON,
2019-08-1411:35:48.3760,1.05,0.77,-0.88,5.73,1.26,-7.19,-20.37,14.56,36.94,12.116,0,1,ON,
2019-08-1411:35:48.3890,1.05,0.77,-0.88,6.96,1.64,-8.41,-20.37,14.56,36.94,12.118,0,1,ON,
2019-08-1411:35:48.5320,1.0,-0.29,-1.04,6.96,1.64,-8.41,-20.37,14.56,36.94,12.115,0,1,ON,
