Timestamp,GYRO_X,GYRO_Y,GYRO_Z,ACCEL_X,ACCEL_Y,ACCEL_Z,MAG_X,MAG_Y,MAG_Z,FDC,REED1,REED2,CAP_STATUS
2019-08-1314:18:10.4160,0.46,-1.01,-2.15,7.25,6.4,-0.42,-21.87,-42.25,3.56,11.223,0,0,ON,
2019-08-1314:18:10.5340,4.44,-3.38,-5.07,7.25,6.4,-0.42,-21.87,-42.25,3.56,11.42,0,0,ON,
2019-08-1314:18:10.6240,4.44,-3.38,-5.07,-1.1,7.97,-6.36,-21.87,-42.25,3.56,11.544,0,0,ON,
2019-08-1314:18:10.7430,4.44,-3.38,-5.07,-2.02,4.3,-8.58,-21.87,-42.25,3.56,11.906,0,0,ON,
2019-08-1314:18:10.8330,4.44,-3.38,-5.07,-2.02,4.3,-8.58,28.25,-5.69,33.63,11.911,0,0,ON,
2019-08-1314:18:10.9230,4.44,-3.38,-5.07,-2.02,4.3,-8.58,23.81,-4.44,40.44,11.812,0,0,ON,
2019-08-1314:18:11.0130,4.44,-3.38,-5.07,-2.02,4.3,-8.58,-9.19,-32.5,23.87,10.902,0,0,ON,
2019-08-1314:18:11.1330,-4.73,-1.48,0.03,-2.02,4.3,-8.58,-9.19,-32.5,23.87,10.269,0,0,ON,
2019-08-1314:18:11.2230,0.98,-4.0,-4.57,-2.02,4.3,-8.58,-9.19,-32.5,23.87,11.005,0,0,ON,
2019-08-1314:18:11.3130,5.33,-2.11,-6.16,-2.02,4.3,-8.58,-9.19,-32.5,23.87,11.322,0,0,ON,
2019-08-1314:18:11.4030,5.33,-2.11,-6.16,-6.84,1.31,-11.95,-9.19,-32.5,23.87,11.85,0,0,ON,
2019-08-1314:18:11.5230,-0.19,1.34,0.19,-6.84,1.31,-11.95,-9.19,-32.5,23.87,11.683,0,0,ON,
2019-08-1314:18:11.6130,-8.2,2.07,0.15,-6.84,1.31,-11.95,-9.19,-32.5,23.87,11.807,0,0,ON,
2019-08-1314:18:11.7730,-8.15,0.99,-1.04,-6.84,1.31,-11.95,-9.19,-32.5,23.87,11.212,0,0,ON,
