Timestamp,GYRO_X,GYRO_Y,GYRO_Z,ACCEL_X,ACCEL_Y,ACCEL_Z,MAG_X,MAG_Y,MAG_Z,FDC,REED1,REED2,CAP_STATUS
2019-08-1311:12:50.3540,0.71,0.88,-1.29,-2.57,-6.51,-4.23,9.0,27.31,43.25,14.002,0,1,ON,
2019-08-1311:12:50.4640,0.22,0.67,-0.28,-2.57,-6.51,-4.23,9.0,27.31,43.25,14.004,0,1,ON,
2019-08-1311:12:50.5700,1.57,4.49,-2.87,-2.57,-6.51,-4.23,9.0,27.31,43.25,14.151,0,1,ON,
2019-08-1311:12:50.6820,1.87,2.78,-0.66,-2.57,-6.51,-4.23,9.0,27.31,43.25,13.865,0,1,ON,
2019-08-1311:12:50.7890,-0.24,-0.11,0.19,-2.57,-6.51,-4.23,9.0,27.31,43.25,13.948,0,1,ON,
2019-08-1311:12:50.8970,-0.24,-0.11,0.19,-2.57,-6.51,-4.23,22.94,28.5,34.81,14.205,0,1,ON,
2019-08-1311:12:51.0120,-6.19,-3.52,3.78,-2.57,-6.51,-4.23,22.94,28.5,34.81,13.664,0,1,ON,
2019-08-1311:12:51.0240,-6.19,-3.52,3.78,-2.57,-6.51,-4.23,35.25,-14.75,35.81,14.247,0,1,ON,
2019-08-1311:12:51.1360,5.06,-2.1,-6.06,-2.57,-6.51,-4.23,35.25,-14.75,35.81,13.868,0,1,ON,
2019-08-1311:12:51.2560,5.06,-2.1,-6.06,11.34,0.31,-7.98,35.25,-14.75,35.81,13.996,0,1,ON,
2019-08-1311:12:51.3780,5.06,-2.1,-6.06,-10.23,2.45,-13.54,35.25,-14.75,35.81,14.234,0,1,ON,
2019-08-1311:12:51.5020,5.06,-2.1,-6.06,17.0,-5.36,-6.68,35.25,-14.75,35.81,14.182,0,1,ON,
2019-08-1311:12:51.5140,-4.69,-10.3,-3.73,17.0,-5.36,-6.68,35.25,-14.75,35.81,14.153,0,1,ON,
2019-08-1311:12:51.6360,-4.69,-10.3,-3.73,-3.3,0.73,-15.88,35.25,-14.75,35.81,14.198,0,1,ON,
2019-08-1311:12:51.7630,1.44,1.78,-0.73,-3.3,0.73,-15.88,35.25,-14.75,35.81,14.217,0,1,ON,
2019-08-1311:12:51.8910,-2.89,-7.46,-1.75,-3.3,0.73,-15.88,35.25,-14.75,35.81,14.14,0,1,ON,
2019-08-1311:12:52.0200,-2.89,-7.46,-1.75,-3.3,0.73,-15.88,29.12,16.69,43.19,14.177,0,1,ON,
2019-08-1311:12:52.0310,-2.89,-7.46,-1.75,-1.27,0.65,-8.63,29.12,16.69,43.19,14.157,0,1,ON,
2019-08-1311:12:52.1620,-1.96,-2.42,-1.87,-1.27,0.65,-8.63,29.12,16.69,43.19,14.09,0,1,ON,
2019-08-1311:12:52.3040,-1.48,-2.65,-2.78,-1.27,0.65,-8.63,29.12,16.69,43.19,13.913,0,1,ON,
2019-08-1311:12:52.4440,-1.48,-2.65,-2.78,-8.97,1.27,-5.34,29.12,16.69,43.19,13.896,0,1,ON,
2019-08-1311:12:52.4570,0.12,-0.45,0.0,-8.97,1.27,-5.34,29.12,16.69,43.19,13.89,0,1,ON,
2019-08-1311:12:52.6000,0.26,0.16,-0.04,-8.97,1.27,-5.34,29.12,16.69,43.19,13.901,0,1,ON,
2019-08-1311:12:52.6120,0.16,0.5,-0.08,-8.97,1.27,-5.34,29.12,16.69,43.19,13.926,0,1,ON,
2019-08-1311:12:52.7520,0.16,0.5,-0.08,-8.32,0.31,-6.57,29.12,16.69,43.19,14.008,0,1,ON,
2019-08-1311:12:52.8920,-0.16,0.57,-0.11,-8.32,0.31,-6.57,29.12,16.69,43.19,13.996,0,1,ON,
2019-08-1311:12:53.0340,0.08,0.44,-0.26,-8.32,0.31,-6.57,29.12,16.69,43.19,13.997,0,1,ON,
2019-08-1311:12:53.0460,0.14,-0.09,-0.21,-8.32,0.31,-6.57,29.12,16.69,43.19,14.039,0,1,ON,
2019-08-1311:12:53.1850,0.14,-0.09,-0.21,-8.32,0.31,-6.57,39.31,26.06,31.0,14.06,0,1,ON,
2019-08-1311:12:53.1980,0.14,-0.09,-0.21,-8.32,0.31,-6.57,38.63,23.62,30.19,14.059,0,1,ON,
2019-08-1311:12:53.3350,0.16,-0.13,1.95,-8.32,0.31,-6.57,38.63,23.62,30.19,14.054,0,1,ON,
2019-08-1311:12:53.4790,0.63,-0.35,4.1,-8.32,0.31,-6.57,38.63,23.62,30.19,13.454,0,1,ON,
2019-08-1311:12:53.4920,2.0,-2.72,6.86,-8.32,0.31,-6.57,38.63,23.62,30.19,13.346,0,1,ON,
2019-08-1311:12:53.6340,3.16,-3.12,1.85,-8.32,0.31,-6.57,38.63,23.62,30.19,13.961,0,1,ON,
2019-08-1311:12:53.7730,1.06,-1.5,0.02,-8.32,0.31,-6.57,38.63,23.62,30.19,13.739,0,1,ON,
2019-08-1311:12:53.8470,1.06,-1.5,0.02,-8.32,3.18,-4.27,38.63,23.62,30.19,13.628,0,1,ON,
2019-08-1311:12:53.9130,-0.57,-0.29,0.29,-8.32,3.18,-4.27,38.63,23.62,30.19,13.674,0,1,ON,
2019-08-1311:12:54.0010,-0.57,-0.29,0.29,-8.32,3.18,-4.27,44.25,-25.12,-7.75,13.637,0,1,ON,
2019-08-1311:12:54.0910,-0.04,0.11,0.12,-8.32,3.18,-4.27,44.25,-25.12,-7.75,13.624,0,1,ON,
2019-08-1311:12:54.1810,-0.04,0.11,0.12,-8.32,3.18,-4.27,43.38,-27.56,-5.0,13.709,0,1,ON,
2019-08-1311:12:54.3010,-1.68,0.45,0.77,-8.32,3.18,-4.27,43.38,-27.56,-5.0,12.912,0,1,ON,
2019-08-1311:12:54.3910,-0.13,0.49,0.19,-8.32,3.18,-4.27,43.38,-27.56,-5.0,13.527,0,1,ON,
2019-08-1311:12:54.5110,2.27,5.41,-0.04,-8.32,3.18,-4.27,43.38,-27.56,-5.0,13.732,0,1,ON,
2019-08-1311:12:54.5710,4.4,4.07,-0.35,-8.32,3.18,-4.27,43.38,-27.56,-5.0,14.204,0,1,ON,
2019-08-1311:12:54.6910,2.9,0.16,-0.64,-8.32,3.18,-4.27,43.38,-27.56,-5.0,14.266,0,1,ON,
2019-08-1311:12:54.8410,2.9,0.16,-0.64,1.49,-4.67,-8.25,43.38,-27.56,-5.0,14.252,0,1,ON,
2019-08-1311:12:55.0030,0.55,-0.42,0.21,1.49,-4.67,-8.25,43.38,-27.56,-5.0,14.264,0,1,ON,
2019-08-1311:12:55.0200,0.66,-0.38,0.24,1.49,-4.67,-8.25,43.38,-27.56,-5.0,14.281,0,1,ON,
2019-08-1311:12:55.1860,0.66,-0.38,0.24,1.49,-4.67,-8.25,18.19,1.62,48.25,14.308,0,1,ON,
2019-08-1311:12:55.2000,0.65,-0.91,0.49,1.49,-4.67,-8.25,18.19,1.62,48.25,14.193,0,1,ON,
2019-08-1311:12:55.3530,0.65,-0.91,0.49,1.49,-4.67,-8.25,25.37,-0.06,46.06,14.25,0,1,ON,
2019-08-1311:12:55.5030,0.65,-0.91,0.49,-2.19,-2.03,-9.25,25.37,-0.06,46.06,14.189,0,1,ON,
2019-08-1311:12:55.5150,0.65,-0.91,0.49,-2.19,-2.03,-9.25,25.44,-2.25,44.88,14.316,0,1,ON,
2019-08-1311:12:55.6500,6.34,-2.57,2.94,-2.19,-2.03,-9.25,25.44,-2.25,44.88,13.593,0,1,ON,
2019-08-1311:12:55.7910,1.9,-6.06,2.51,-2.19,-2.03,-9.25,25.44,-2.25,44.88,12.945,0,1,ON,
2019-08-1311:12:55.8050,-0.72,-5.41,1.97,-2.19,-2.03,-9.25,25.44,-2.25,44.88,12.852,0,1,ON,
2019-08-1311:12:55.9440,-0.91,-1.9,3.02,-2.19,-2.03,-9.25,25.44,-2.25,44.88,12.74,0,1,ON,
2019-08-1311:12:56.0890,-2.28,1.51,1.87,-2.19,-2.03,-9.25,25.44,-2.25,44.88,13.04,0,1,ON,
2019-08-1311:12:56.1030,-2.84,8.36,5.83,-2.19,-2.03,-9.25,25.44,-2.25,44.88,13.717,0,1,ON,
2019-08-1311:12:56.2340,-2.84,8.36,5.83,-2.19,-2.03,-9.25,27.25,-36.44,26.69,14.059,0,1,ON,
2019-08-1311:12:56.3710,-2.84,8.36,5.83,-2.19,-2.03,-9.25,12.69,-28.25,41.81,14.279,0,1,ON,
2019-08-1311:12:56.3840,-2.84,8.36,5.83,-6.09,0.42,-10.55,12.69,-28.25,41.81,13.465,0,1,ON,
2019-08-1311:12:56.5250,-2.84,8.36,5.83,-6.09,0.42,-10.55,47.81,-4.37,-8.0,13.415,0,1,ON,
2019-08-1311:12:56.6590,1.76,-2.64,0.34,-6.09,0.42,-10.55,47.81,-4.37,-8.0,12.853,0,1,ON,
2019-08-1311:12:56.6720,0.9,-0.92,0.75,-6.09,0.42,-10.55,47.81,-4.37,-8.0,12.741,0,1,ON,
