Timestamp,GYRO_X,GYRO_Y,GYRO_Z,ACCEL_X,ACCEL_Y,ACCEL_Z,MAG_X,MAG_Y,MAG_Z,FDC,REED1,REED2,CAP_STATUS
2019-08-1510:05:03.6530,-0.31,0.03,0.18,5.91,-4.47,-6.05,17.31,60.38,21.44,14.066,0,1,ON,
2019-08-1510:05:03.7720,0.04,0.05,-0.13,5.91,-4.47,-6.05,17.31,60.38,21.44,14.066,0,1,ON,
2019-08-1510:05:03.8620,0.16,0.14,0.06,5.91,-4.47,-6.05,17.31,60.38,21.44,14.078,0,1,ON,
2019-08-1510:05:03.9820,0.74,0.31,1.02,5.91,-4.47,-6.05,17.31,60.38,21.44,14.174,0,1,ON,
2019-08-1510:05:04.0720,0.57,0.19,-3.52,5.91,-4.47,-6.05,17.31,60.38,21.44,14.046,0,1,ON,
2019-08-1510:05:04.1620,0.57,0.19,-3.52,5.91,-4.47,-6.05,3.87,48.75,21.44,14.007,0,1,ON,
2019-08-1510:05:04.2520,0.57,0.19,-3.52,5.91,-4.47,-6.05,11.75,32.81,21.0,14.384,0,1,ON,
2019-08-1510:05:04.3720,0.57,0.19,-3.52,5.91,-4.47,-6.05,18.37,44.5,-7.87,13.56,0,1,ON,
2019-08-1510:05:04.4880,0.57,0.19,-3.52,8.74,-0.1,0.73,18.37,44.5,-14.38,12.817,0,1,ON,
2019-08-1510:05:04.5820,0.57,0.19,-3.52,8.74,-0.1,0.73,11.25,59.06,-14.38,13.164,0,1,ON,
2019-08-1510:05:04.6720,1.52,0.15,-5.74,8.74,-0.1,0.73,11.25,59.06,20.06,14.135,0,1,ON,
2019-08-1510:05:04.7620,-11.63,0.51,-10.66,8.74,-0.1,0.73,11.25,59.06,20.06,14.228,0,1,ON,
2019-08-1510:05:04.8520,-5.0,2.84,2.91,8.74,-0.1,0.73,11.25,59.06,20.06,14.475,0,1,ON,
2019-08-1510:05:04.9720,-1.17,-5.57,4.53,8.74,-0.1,0.73,11.25,59.06,20.06,14.204,0,1,ON,
2019-08-1510:05:05.0620,7.18,-10.93,1.96,8.74,-0.1,0.73,11.25,59.06,20.06,13.6,0,1,ON,
2019-08-1510:05:05.1520,7.18,-10.93,1.96,8.74,-0.1,0.73,-7.37,17.5,20.06,14.308,0,1,ON,
2019-08-1510:05:05.2420,7.18,-10.93,1.96,8.74,-0.1,0.73,-19.5,8.88,14.94,14.381,0,1,ON,
2019-08-1510:05:05.3620,7.18,-10.93,1.96,8.74,-0.1,0.73,-15.88,-10.19,2.81,14.195,0,1,ON,
2019-08-1510:05:05.4520,7.18,-10.93,1.96,4.15,10.24,-1.72,-15.88,-10.19,1.12,13.198,0,1,ON,
2019-08-1510:05:05.5730,7.18,-10.93,1.96,4.15,10.24,-1.72,-11.75,-13.69,1.12,12.497,0,1,ON,
2019-08-1510:05:05.6620,7.18,-10.93,1.96,9.63,1.01,-0.26,-11.75,-13.69,-13.94,12.837,0,1,ON,
2019-08-1510:05:05.7520,-0.03,-7.81,0.32,9.63,1.01,-0.26,-11.75,-13.69,-13.94,13.162,0,1,ON,
2019-08-1510:05:05.8420,3.76,-5.1,-2.32,9.63,1.01,-0.26,-11.75,-13.69,-13.94,14.378,0,1,ON,
2019-08-1510:05:05.9620,9.96,0.18,-0.63,9.63,1.01,-0.26,-11.75,-13.69,-13.94,14.485,0,1,ON,
2019-08-1510:05:06.0530,9.96,0.18,-0.63,9.63,1.01,-0.26,-31.19,14.06,-13.94,14.512,0,1,ON,
2019-08-1510:05:06.1420,-11.64,-2.21,-7.24,9.63,1.01,-0.26,-31.19,14.06,-13.13,14.481,0,1,ON,
2019-08-1510:05:06.2480,-7.29,-0.04,-0.0,9.63,1.01,-0.26,-31.19,14.06,-13.13,14.122,0,1,ON,
2019-08-1510:05:06.3520,-7.29,-0.04,-0.0,9.63,1.01,-0.26,-27.94,-0.56,-13.13,13.04,0,1,ON,
2019-08-1510:05:06.4930,0.55,-6.29,6.19,9.63,1.01,-0.26,-27.94,-0.56,-20.19,13.02,0,1,ON,
2019-08-1510:05:06.5770,0.55,-6.29,6.19,6.02,-3.89,-7.31,-27.94,-0.56,-20.19,13.596,0,1,ON,
2019-08-1510:05:06.6640,0.55,-6.29,6.19,6.02,-3.89,-7.31,12.19,29.5,-20.19,14.316,0,1,ON,
2019-08-1510:05:06.7530,1.18,-0.33,-2.13,6.02,-3.89,-7.31,12.19,29.5,21.56,14.305,0,1,ON,
2019-08-1510:05:06.8450,3.94,-1.65,-4.5,6.02,-3.89,-7.31,12.19,29.5,21.56,14.048,0,1,ON,
2019-08-1510:05:06.9520,-5.53,0.09,-2.67,6.02,-3.89,-7.31,12.19,29.5,21.56,14.151,0,1,ON,
2019-08-1510:05:07.0420,-1.83,1.04,0.25,6.02,-3.89,-7.31,12.19,29.5,21.56,14.454,0,1,ON,
2019-08-1510:05:07.1620,-0.18,0.14,1.36,6.02,-3.89,-7.31,12.19,29.5,21.56,14.438,0,1,ON,
2019-08-1510:05:07.2540,-0.18,0.14,1.36,6.02,-3.89,-7.31,-20.25,25.0,21.56,14.372,0,1,ON,
2019-08-1510:05:07.3490,1.48,-2.67,-0.04,6.02,-3.89,-7.31,-20.25,25.0,25.0,14.318,0,1,ON,
2019-08-1510:05:07.4420,2.91,-3.46,-4.8,6.02,-3.89,-7.31,-20.25,25.0,25.0,14.435,0,1,ON,
2019-08-1510:05:07.5520,-0.45,6.39,-5.0,6.02,-3.89,-7.31,-20.25,25.0,25.0,13.69,0,1,ON,
2019-08-1510:05:07.6500,-0.45,6.39,-5.0,6.02,-3.89,-7.31,-35.88,1.44,25.0,14.038,0,1,ON,
2019-08-1510:05:07.7490,-5.72,2.05,-1.05,6.02,-3.89,-7.31,-35.88,1.44,-4.5,13.32,0,1,ON,
2019-08-1510:05:07.8500,0.47,-2.02,3.96,6.02,-3.89,-7.31,-35.88,1.44,-4.5,12.685,0,1,ON,
2019-08-1510:05:07.9520,0.68,-7.97,2.69,6.02,-3.89,-7.31,-35.88,1.44,-4.5,12.791,0,1,ON,
2019-08-1510:05:08.0550,0.68,-7.97,2.69,6.6,-0.33,-6.24,-35.88,1.44,-4.5,13.097,0,1,ON,
2019-08-1510:05:08.1600,1.67,-1.42,-1.87,6.6,-0.33,-6.24,-35.88,1.44,-4.5,13.586,0,1,ON,
2019-08-1510:05:08.2660,5.39,-4.42,3.04,6.6,-0.33,-6.24,-35.88,1.44,-4.5,13.774,0,1,ON,
2019-08-1510:05:08.3790,5.39,-4.42,3.04,3.34,-7.19,-4.86,-35.88,1.44,-4.5,13.33,0,1,ON,
2019-08-1510:05:08.4900,5.39,-4.42,3.04,3.34,-7.19,-4.86,-28.62,1.44,-4.5,14.387,0,1,ON,
2019-08-1510:05:08.6020,-6.48,-0.44,-5.26,3.34,-7.19,-4.86,-28.62,1.44,22.69,14.161,0,1,ON,
2019-08-1510:05:08.7150,-6.48,-0.44,-5.26,3.34,-7.19,-4.86,-14.75,-34.56,22.69,13.899,0,1,ON,
2019-08-1510:05:08.7290,10.53,-3.73,4.03,3.34,-7.19,-4.86,-14.75,-34.56,1.06,13.932,0,1,ON,
2019-08-1510:05:08.8440,10.53,-3.73,4.03,-0.45,-1.82,-6.24,-14.75,-34.56,1.06,14.343,0,1,ON,
2019-08-1510:05:08.9650,10.53,-3.73,4.03,5.26,-2.97,-9.92,-14.75,-34.56,1.06,14.239,0,1,ON,
2019-08-1510:05:09.0850,-2.11,7.61,-0.12,5.26,-2.97,-9.92,-14.75,-34.56,1.06,14.01,0,1,ON,
2019-08-1510:05:09.2070,-1.17,-0.15,-0.51,5.26,-2.97,-9.92,-14.75,-34.56,1.06,13.262,0,1,ON,
2019-08-1510:05:09.3350,0.7,-0.48,1.75,5.26,-2.97,-9.92,-14.75,-34.56,1.06,13.54,0,1,ON,
2019-08-1510:05:09.4630,0.74,-1.03,0.9,5.26,-2.97,-9.92,-14.75,-34.56,1.06,13.597,0,1,ON,
2019-08-1510:05:09.4760,-0.15,-1.0,-0.14,5.26,-2.97,-9.92,-14.75,-34.56,1.06,13.652,0,1,ON,
2019-08-1510:05:09.6030,-0.65,-2.08,-1.58,5.26,-2.97,-9.92,-14.75,-34.56,1.06,13.793,0,1,ON,
2019-08-1510:05:09.7370,-0.65,-2.08,-1.58,5.26,-2.97,-9.92,-33.13,0.88,1.06,14.205,0,1,ON,
2019-08-1510:05:09.7500,-0.65,-2.08,-1.58,5.26,-2.97,-9.92,-35.38,4.0,11.0,14.079,0,1,ON,
2019-08-1510:05:09.8790,-0.65,-2.08,-1.58,8.09,-1.98,-5.82,-35.38,4.0,8.0,13.857,0,1,ON,
2019-08-1510:05:10.0140,-0.65,-2.08,-1.58,10.43,-0.6,-5.05,-35.38,4.0,8.0,13.824,0,1,ON,
2019-08-1510:05:10.0270,0.93,-0.3,0.37,10.43,-0.6,-5.05,-35.38,4.0,8.0,13.707,0,1,ON,
2019-08-1510:05:10.1640,1.32,-0.57,0.13,10.43,-0.6,-5.05,-35.38,4.0,8.0,13.665,0,1,ON,
2019-08-1510:05:10.3010,1.32,-0.57,0.13,7.36,-0.68,-5.55,-35.38,4.0,8.0,13.59,0,1,ON,
2019-08-1510:05:10.3150,1.42,0.18,-1.62,7.36,-0.68,-5.55,-35.38,4.0,8.0,13.913,0,1,ON,
2019-08-1510:05:10.4570,0.45,-0.23,-1.51,7.36,-0.68,-5.55,-35.38,4.0,8.0,13.821,0,1,ON,
2019-08-1510:05:10.5930,0.45,-0.23,-1.51,7.63,-0.71,-7.23,-35.38,4.0,8.0,14.051,0,1,ON,
2019-08-1510:05:10.7370,0.45,-0.23,-1.51,8.02,-2.63,-5.7,-35.38,4.0,8.0,13.966,0,1,ON,
2019-08-1510:05:10.7490,0.45,-0.23,-1.51,8.02,-2.63,-5.7,-30.75,-17.25,8.0,14.045,0,1,ON,
2019-08-1510:05:10.8930,-0.05,0.16,-0.64,8.02,-2.63,-5.7,-30.75,-17.25,11.25,14.021,0,1,ON,
