Timestamp,GYRO_X,GYRO_Y,GYRO_Z,ACCEL_X,ACCEL_Y,ACCEL_Z,MAG_X,MAG_Y,MAG_Z,FDC,REED1,REED2,CAP_STATUS
2019-08-1410:11:27.0650,3.04,-1.62,-0.62,2.19,4.77,-7.7,-44.31,4.06,-1.81,14.518,1,1,ON,
2019-08-1410:11:27.1810,3.04,-1.62,-0.62,-2.56,0.97,-9.19,-44.31,4.06,-1.81,14.485,1,1,ON,
2019-08-1410:11:27.2750,3.04,-1.62,-0.62,-1.14,-0.45,-10.07,-44.31,4.06,-1.81,14.507,1,1,ON,
2019-08-1410:11:27.3650,-2.6,3.52,0.17,-1.14,-0.45,-10.07,-44.31,4.06,-1.81,14.27,1,1,ON,
2019-08-1410:11:27.4850,-4.21,5.67,2.39,-1.14,-0.45,-10.07,-44.31,4.06,-1.81,13.756,1,1,ON,
2019-08-1410:11:27.5760,-1.25,1.74,1.77,-1.14,-0.45,-10.07,-44.31,4.06,-1.81,13.547,1,1,ON,
2019-08-1410:11:27.6750,-1.25,1.74,1.77,-1.14,-0.45,-10.07,-43.13,3.0,-12.19,14.0,1,1,ON,
2019-08-1410:11:27.7720,-1.25,1.74,1.77,5.3,-2.05,-3.33,-43.13,3.0,-12.19,13.183,1,1,ON,
2019-08-1410:11:27.8750,-1.25,1.74,1.77,15.56,3.96,-7.7,-43.13,3.0,-12.19,13.917,1,1,ON,
2019-08-1410:11:27.9760,0.48,-3.05,0.24,15.56,3.96,-7.7,-43.13,3.0,-12.19,14.123,1,1,ON,
2019-08-1410:11:28.0780,-1.46,-2.87,1.95,15.56,3.96,-7.7,-43.13,3.0,-12.19,14.436,1,1,ON,
2019-08-1410:11:28.1810,-0.97,2.18,3.76,15.56,3.96,-7.7,-43.13,3.0,-12.19,14.044,1,1,ON,
2019-08-1410:11:28.2820,-0.97,2.18,3.76,5.22,-0.48,-8.46,-43.13,3.0,-12.19,14.088,1,1,ON,
2019-08-1410:11:28.3820,-0.66,0.19,0.04,5.22,-0.48,-8.46,-43.13,3.0,-12.19,14.138,1,1,ON,
2019-08-1410:11:28.4850,-0.91,-1.03,3.52,5.22,-0.48,-8.46,-43.13,3.0,-12.19,14.278,1,1,ON,
2019-08-1410:11:28.5930,-0.93,-0.04,0.34,5.22,-0.48,-8.46,-43.13,3.0,-12.19,14.148,1,1,ON,
2019-08-1410:11:28.7030,-0.93,-0.04,0.34,5.14,0.05,-10.11,-43.13,3.0,-12.19,14.19,1,1,ON,
2019-08-1410:11:28.8120,-0.93,-0.04,0.34,5.14,0.05,-10.11,-29.56,23.81,23.56,14.109,1,1,ON,
2019-08-1410:11:28.9260,0.21,0.27,-0.06,5.14,0.05,-10.11,-29.56,23.81,23.56,14.076,1,1,ON,
2019-08-1410:11:29.0380,0.12,-0.08,1.17,5.14,0.05,-10.11,-29.56,23.81,23.56,14.148,1,1,ON,
2019-08-1410:11:29.1550,0.12,-0.08,1.17,5.14,0.05,-10.11,-28.56,30.56,24.19,14.104,1,1,ON,
2019-08-1410:11:29.1660,-0.04,-0.56,-0.56,5.14,0.05,-10.11,-28.56,30.56,24.19,14.103,1,1,ON,
2019-08-1410:11:29.2900,-0.31,-0.42,-0.2,5.14,0.05,-10.11,-28.56,30.56,24.19,14.13,1,1,ON,
2019-08-1410:11:29.4130,-0.56,-1.54,-0.93,5.14,0.05,-10.11,-28.56,30.56,24.19,14.284,1,1,ON,
2019-08-1410:11:29.5380,0.96,-1.39,-1.59,5.14,0.05,-10.11,-28.56,30.56,24.19,14.352,1,1,ON,
2019-08-1410:11:29.6600,0.41,0.45,-0.51,5.14,0.05,-10.11,-28.56,30.56,24.19,14.288,1,1,ON,
2019-08-1410:11:29.6730,0.41,0.45,-0.51,5.14,0.05,-10.11,-25.62,18.94,32.44,14.275,1,1,ON,
2019-08-1410:11:29.8080,0.41,0.45,-0.51,5.14,0.05,-10.11,-26.0,3.75,34.63,14.158,1,1,ON,
2019-08-1410:11:29.9430,0.41,0.45,-0.51,5.14,0.05,-10.11,-20.37,-6.31,38.25,14.143,1,1,ON,
2019-08-1410:11:29.9570,0.41,0.45,-0.51,1.16,4.0,-9.27,-20.37,-6.31,38.25,14.384,1,1,ON,
2019-08-1410:11:30.0870,2.2,2.48,3.26,1.16,4.0,-9.27,-20.37,-6.31,38.25,14.178,1,1,ON,
2019-08-1410:11:30.2230,0.21,0.88,-1.59,1.16,4.0,-9.27,-20.37,-6.31,38.25,14.013,1,1,ON,
2019-08-1410:11:30.3650,0.21,-2.54,-0.45,1.16,4.0,-9.27,-20.37,-6.31,38.25,14.204,1,1,ON,
2019-08-1410:11:30.3770,2.93,-5.79,0.79,1.16,4.0,-9.27,-20.37,-6.31,38.25,14.355,1,1,ON,
2019-08-1410:11:30.5220,2.93,-5.79,0.79,-6.35,0.47,-3.71,-20.37,-6.31,38.25,13.518,1,1,ON,
2019-08-1410:11:30.6690,2.93,-5.79,0.79,-3.21,-1.86,-1.76,-20.37,-6.31,38.25,14.326,1,1,ON,
2019-08-1410:11:30.6820,-5.43,-1.59,-1.6,-3.21,-1.86,-1.76,-20.37,-6.31,38.25,14.212,1,1,ON,
2019-08-1410:11:30.8300,-5.43,-1.59,-1.6,-3.21,-1.86,-1.76,-16.19,5.44,36.5,14.057,1,1,ON,
2019-08-1410:11:30.9760,-5.43,-1.59,-1.6,-3.21,-1.86,-1.76,-3.75,16.06,39.94,13.795,1,1,ON,
2019-08-1410:11:30.9890,-5.43,-1.59,-1.6,-0.34,2.81,-5.47,-3.75,16.06,39.94,14.231,1,1,ON,
2019-08-1410:11:31.1310,-5.43,-1.59,-1.6,-0.34,2.81,-5.47,-24.31,3.44,32.88,13.869,1,1,ON,
2019-08-1410:11:31.2770,-0.7,-0.33,1.04,-0.34,2.81,-5.47,-24.31,3.44,32.88,13.915,1,1,ON,
2019-08-1410:11:31.2910,0.3,-0.04,0.35,-0.34,2.81,-5.47,-24.31,3.44,32.88,13.983,1,1,ON,
2019-08-1410:11:31.4340,0.5,0.19,-0.03,-0.34,2.81,-5.47,-24.31,3.44,32.88,14.015,1,1,ON,
2019-08-1410:11:31.4480,0.83,-0.88,-0.2,-0.34,2.81,-5.47,-24.31,3.44,32.88,14.161,1,1,ON,
2019-08-1410:11:31.5970,1.14,-1.69,-0.59,-0.34,2.81,-5.47,-24.31,3.44,32.88,14.285,1,1,ON,
2019-08-1410:11:31.7440,1.14,-1.69,-0.59,0.97,2.66,-9.5,-24.31,3.44,32.88,14.313,1,1,ON,
2019-08-1410:11:31.7570,1.14,-1.69,-0.59,0.97,2.66,-9.5,-17.31,9.5,34.69,14.363,1,1,ON,
2019-08-1410:11:31.9020,-0.01,0.92,-1.02,0.97,2.66,-9.5,-17.31,9.5,34.69,14.352,1,1,ON,
2019-08-1410:11:32.0490,-1.26,1.15,-0.9,0.97,2.66,-9.5,-17.31,9.5,34.69,14.22,1,1,ON,
2019-08-1410:11:32.0610,-1.26,1.15,-0.9,0.74,3.88,-10.11,-17.31,9.5,34.69,14.226,1,1,ON,
2019-08-1410:11:32.2060,0.49,0.66,2.59,0.74,3.88,-10.11,-17.31,9.5,34.69,14.233,1,1,ON,
2019-08-1410:11:32.3540,1.23,-0.27,-0.09,0.74,3.88,-10.11,-17.31,9.5,34.69,14.151,1,1,ON,
2019-08-1410:11:32.3660,0.72,0.42,-0.67,0.74,3.88,-10.11,-17.31,9.5,34.69,14.18,1,1,ON,
2019-08-1410:11:32.5140,0.76,1.14,0.21,0.74,3.88,-10.11,-17.31,9.5,34.69,14.19,1,1,ON,
2019-08-1410:11:32.5270,-0.02,-0.31,-0.63,0.74,3.88,-10.11,-17.31,9.5,34.69,14.171,1,1,ON,
2019-08-1410:11:32.6680,1.29,-2.84,-0.25,0.74,3.88,-10.11,-17.31,9.5,34.69,14.378,1,1,ON,
2019-08-1410:11:32.8110,2.36,-4.17,0.06,0.74,3.88,-10.11,-17.31,9.5,34.69,14.39,1,1,ON,
2019-08-1410:11:32.8260,0.94,-7.4,-0.48,0.74,3.88,-10.11,-17.31,9.5,34.69,14.103,1,1,ON,
2019-08-1410:11:32.9690,0.94,-7.4,-0.48,0.74,3.88,-10.11,23.37,26.56,14.69,13.69,1,1,ON,
2019-08-1410:11:33.1160,-0.08,-3.49,0.56,0.74,3.88,-10.11,23.37,26.56,14.69,13.456,1,1,ON,
2019-08-1410:11:33.1290,-0.08,-3.49,0.56,0.74,3.88,-10.11,39.44,21.0,-12.81,13.164,1,1,ON,
2019-08-1410:11:33.2690,-0.08,-3.49,0.56,0.74,3.88,-10.11,41.19,20.44,-5.12,13.218,1,1,ON,
2019-08-1410:11:33.4140,0.44,12.2,-0.62,0.74,3.88,-10.11,41.19,20.44,-5.12,14.364,1,1,ON,
2019-08-1410:11:33.5570,-1.42,3.75,-0.94,0.74,3.88,-10.11,41.19,20.44,-5.12,14.354,1,1,ON,
2019-08-1410:11:33.5700,-0.38,2.67,0.04,0.74,3.88,-10.11,41.19,20.44,-5.12,14.216,1,1,ON,
2019-08-1410:11:33.7120,0.09,1.33,0.14,0.74,3.88,-10.11,41.19,20.44,-5.12,14.204,1,1,ON,
2019-08-1410:11:33.7260,0.09,1.33,0.14,3.5,-0.56,-11.49,41.19,20.44,-5.12,14.2,1,1,ON,
2019-08-1410:11:33.8690,0.09,1.33,0.14,2.73,-1.02,-9.19,41.19,20.44,-5.12,14.274,1,1,ON,
2019-08-1410:11:34.0140,0.09,1.33,0.14,2.73,-1.02,-9.19,-26.25,23.12,23.31,14.245,1,1,ON,
2019-08-1410:11:34.0260,0.09,1.33,0.14,2.73,-1.02,-9.19,-21.31,26.31,31.12,14.446,1,1,ON,
2019-08-1410:11:34.1720,0.09,1.33,0.14,2.73,-1.02,-9.19,-12.63,25.5,30.12,13.963,1,1,ON,
2019-08-1410:11:34.3180,0.09,1.33,0.14,2.73,-1.02,-9.19,-21.25,32.88,24.37,14.34,1,1,ON,
2019-08-1410:11:34.3300,0.09,1.33,0.14,15.52,-6.92,-14.63,-21.25,32.88,24.37,14.353,1,1,ON,
2019-08-1410:11:34.4780,0.2,-0.26,1.41,15.52,-6.92,-14.63,-21.25,32.88,24.37,14.328,1,1,ON,
2019-08-1410:11:34.6210,0.2,-0.26,1.41,0.55,-0.18,-7.73,-21.25,32.88,24.37,13.789,1,1,ON,
2019-08-1410:11:34.6350,-1.04,-1.88,3.73,0.55,-0.18,-7.73,-21.25,32.88,24.37,13.829,1,1,ON,
2019-08-1410:11:34.7810,-0.43,-2.42,4.4,0.55,-0.18,-7.73,-21.25,32.88,24.37,14.298,1,1,ON,
2019-08-1410:11:34.9280,-3.26,0.11,-1.54,0.55,-0.18,-7.73,-21.25,32.88,24.37,14.313,1,1,ON,
2019-08-1410:11:34.9420,-0.7,2.17,-0.4,0.55,-0.18,-7.73,-21.25,32.88,24.37,13.933,1,1,ON,
2019-08-1410:11:35.0870,-0.7,2.17,-0.4,3.96,2.54,-8.04,-21.25,32.88,24.37,14.133,1,1,ON,
2019-08-1410:11:35.2350,-0.7,2.17,-0.4,5.45,0.55,-8.57,-21.25,32.88,24.37,14.261,1,1,ON,
2019-08-1410:11:35.2470,-0.7,2.17,-0.4,5.45,0.55,-8.57,-24.37,25.81,30.44,14.434,1,1,ON,
2019-08-1410:11:35.3930,0.99,-0.07,3.37,5.45,0.55,-8.57,-24.37,25.81,30.44,14.305,1,1,ON,
2019-08-1410:11:35.4070,0.99,-0.07,3.37,3.04,-3.13,-10.14,-24.37,25.81,30.44,14.32,1,1,ON,
2019-08-1410:11:35.5510,0.18,0.07,1.44,3.04,-3.13,-10.14,-24.37,25.81,30.44,14.36,1,1,ON,
2019-08-1410:11:35.6970,-0.17,-0.36,-0.12,3.04,-3.13,-10.14,-24.37,25.81,30.44,14.307,1,1,ON,
2019-08-1410:11:35.7100,-0.42,-1.53,1.47,3.04,-3.13,-10.14,-24.37,25.81,30.44,14.28,1,1,ON,
2019-08-1410:11:35.8560,-2.37,-2.9,1.39,3.04,-3.13,-10.14,-24.37,25.81,30.44,14.453,1,1,ON,
2019-08-1410:11:36.0020,-2.57,-1.93,2.83,3.04,-3.13,-10.14,-24.37,25.81,30.44,14.228,1,1,ON,
2019-08-1410:11:36.0150,-0.42,-0.86,0.68,3.04,-3.13,-10.14,-24.37,25.81,30.44,13.907,1,1,ON,
2019-08-1410:11:36.1630,0.23,0.87,-1.07,3.04,-3.13,-10.14,-24.37,25.81,30.44,14.496,1,1,ON,
2019-08-1410:11:36.3110,0.23,0.87,-1.07,3.04,-3.13,-10.14,22.19,20.75,34.63,14.439,1,1,ON,
2019-08-1410:11:36.3240,0.23,0.87,-1.07,3.04,-3.13,-10.14,23.69,23.06,28.0,14.541,1,1,ON,
2019-08-1410:11:36.4680,-0.83,-1.03,0.37,3.04,-3.13,-10.14,23.69,23.06,28.0,13.789,1,1,ON,
2019-08-1410:11:36.6090,-0.83,-1.03,0.37,-2.02,4.38,-1.49,23.69,23.06,28.0,14.408,1,1,ON,
2019-08-1410:11:36.6220,-0.83,-1.03,0.37,-2.02,4.38,-1.49,16.19,30.37,32.38,14.359,1,1,ON,
2019-08-1410:11:36.7670,0.89,-1.08,1.71,-2.02,4.38,-1.49,16.19,30.37,32.38,14.491,1,1,ON,
2019-08-1410:11:36.9140,-0.91,1.06,-0.02,-2.02,4.38,-1.49,16.19,30.37,32.38,14.36,1,1,ON,
2019-08-1410:11:36.9280,-3.21,-0.1,-0.05,-2.02,4.38,-1.49,16.19,30.37,32.38,14.339,1,1,ON,
2019-08-1410:11:37.0720,-2.48,-4.17,-1.04,-2.02,4.38,-1.49,16.19,30.37,32.38,13.384,1,1,ON,
2019-08-1410:11:37.0860,0.78,-1.41,-3.15,-2.02,4.38,-1.49,16.19,30.37,32.38,13.888,1,1,ON,
2019-08-1410:11:37.2330,4.1,3.66,-3.86,-2.02,4.38,-1.49,16.19,30.37,32.38,14.466,1,1,ON,
2019-08-1410:11:37.3800,4.1,3.66,-3.86,-2.02,4.38,-1.49,13.69,38.25,18.44,14.29,1,1,ON,
2019-08-1410:11:37.3920,4.1,3.66,-3.86,-2.02,4.38,-1.49,22.81,28.06,29.69,14.119,1,1,ON,
2019-08-1410:11:37.5390,-1.09,6.92,5.09,-2.02,4.38,-1.49,22.81,28.06,29.69,14.48,1,1,ON,
2019-08-1410:11:37.6840,1.35,2.71,1.72,-2.02,4.38,-1.49,22.81,28.06,29.69,14.111,1,1,ON,
2019-08-1410:11:37.6970,3.56,-0.59,1.04,-2.02,4.38,-1.49,22.81,28.06,29.69,13.943,1,1,ON,
2019-08-1410:11:37.8440,3.56,-0.59,1.04,6.75,-3.47,-6.58,22.81,28.06,29.69,13.834,1,1,ON,
2019-08-1410:11:37.9900,2.93,-2.54,0.4,6.75,-3.47,-6.58,22.81,28.06,29.69,13.804,1,1,ON,
2019-08-1410:11:38.0030,2.08,-0.97,-5.38,6.75,-3.47,-6.58,22.81,28.06,29.69,13.591,1,1,ON,
2019-08-1410:11:38.1510,1.42,0.39,-3.9,6.75,-3.47,-6.58,22.81,28.06,29.69,13.595,1,1,ON,
2019-08-1410:11:38.2980,1.42,0.39,-3.9,8.97,-4.85,-6.32,22.81,28.06,29.69,13.591,1,1,ON,
2019-08-1410:11:38.3100,1.42,0.39,-3.9,8.97,-4.85,-6.32,-30.25,28.56,-4.87,13.41,1,1,ON,
2019-08-1410:11:38.4570,1.42,0.39,-3.9,8.97,-4.85,-6.32,-31.62,24.81,12.88,13.939,1,1,ON,
2019-08-1410:11:38.4710,1.42,0.39,-3.9,8.97,-4.85,-6.32,-33.06,24.5,7.94,13.686,1,1,ON,
2019-08-1410:11:38.6160,1.42,0.39,-3.9,8.97,-4.85,-6.32,-35.94,19.75,14.06,14.155,1,1,ON,
2019-08-1410:11:38.7630,0.78,-2.28,2.64,8.97,-4.85,-6.32,-35.94,19.75,14.06,14.404,1,1,ON,
2019-08-1410:11:38.9080,0.35,-1.26,-1.74,8.97,-4.85,-6.32,-35.94,19.75,14.06,13.988,1,1,ON,
2019-08-1410:11:38.9220,-0.26,-0.1,-2.24,8.97,-4.85,-6.32,-35.94,19.75,14.06,14.208,1,1,ON,
2019-08-1410:11:39.0690,-0.26,-0.1,-2.24,3.5,-1.9,-10.07,-35.94,19.75,14.06,14.178,1,1,ON,
2019-08-1410:11:39.0830,-0.26,-0.1,-2.24,2.8,-3.01,-8.42,-35.94,19.75,14.06,14.068,1,1,ON,
2019-08-1410:11:39.2260,1.36,1.54,0.78,2.8,-3.01,-8.42,-35.94,19.75,14.06,13.833,1,1,ON,
2019-08-1410:11:39.3680,-1.04,-0.2,-1.15,2.8,-3.01,-8.42,-35.94,19.75,14.06,13.914,1,1,ON,
2019-08-1410:11:39.3810,-1.04,-0.2,-1.15,6.14,-5.0,-8.8,-35.94,19.75,14.06,14.041,1,1,ON,
2019-08-1410:11:39.5300,-0.93,-0.74,-0.21,6.14,-5.0,-8.8,-35.94,19.75,14.06,14.134,1,1,ON,
2019-08-1410:11:39.6780,-0.93,-0.74,-0.21,6.14,-5.0,-8.8,-26.94,24.06,24.69,14.246,1,1,ON,
2019-08-1410:11:39.6910,-0.93,-0.74,-0.21,6.14,-5.0,-8.8,-21.75,21.19,29.12,14.375,1,1,ON,
2019-08-1410:11:39.8360,-1.18,-1.24,0.3,6.14,-5.0,-8.8,-21.75,21.19,29.12,14.448,1,1,ON,
2019-08-1410:11:39.9800,-1.75,-0.97,0.47,6.14,-5.0,-8.8,-21.75,21.19,29.12,14.191,1,1,ON,
2019-08-1410:11:39.9920,-2.2,1.73,-0.96,6.14,-5.0,-8.8,-21.75,21.19,29.12,13.986,1,1,ON,
2019-08-1410:11:40.1430,-1.64,0.29,-0.19,6.14,-5.0,-8.8,-21.75,21.19,29.12,13.899,1,1,ON,
2019-08-1410:11:40.2910,-1.64,0.29,-0.19,5.14,5.45,-9.73,-21.75,21.19,29.12,14.103,1,1,ON,
2019-08-1410:11:40.3050,-1.64,0.29,-0.19,5.14,5.45,-9.73,-3.75,20.19,32.94,14.389,1,1,ON,
2019-08-1410:11:40.4500,1.06,-1.72,1.18,5.14,5.45,-9.73,-3.75,20.19,32.94,13.994,1,1,ON,
2019-08-1410:11:40.4630,1.06,-1.72,1.18,5.14,5.45,-9.73,16.06,26.94,21.81,13.912,1,1,ON,
2019-08-1410:11:40.6090,-4.1,3.41,-6.95,5.14,5.45,-9.73,16.06,26.94,21.81,14.309,1,1,ON,
2019-08-1410:11:40.7510,-4.1,3.41,-6.95,5.14,5.45,-9.73,-23.75,11.06,34.0,14.26,1,1,ON,
2019-08-1410:11:40.9000,-4.1,3.41,-6.95,5.14,5.45,-9.73,-16.75,20.81,34.63,14.293,1,1,ON,
2019-08-1410:11:40.9120,0.28,-0.78,0.9,5.14,5.45,-9.73,-16.75,20.81,34.63,14.278,1,1,ON,
2019-08-1410:11:41.0580,0.28,-0.78,0.9,1.7,0.51,-13.13,-16.75,20.81,34.63,14.279,1,1,ON,
2019-08-1410:11:41.0720,2.99,0.45,0.99,1.7,0.51,-13.13,-16.75,20.81,34.63,13.635,1,1,ON,
2019-08-1410:11:41.2150,-3.15,3.86,-7.37,1.7,0.51,-13.13,-16.75,20.81,34.63,14.347,1,1,ON,
2019-08-1410:11:41.3620,-1.14,-0.14,-1.48,1.7,0.51,-13.13,-16.75,20.81,34.63,14.262,1,1,ON,
2019-08-1410:11:41.3760,0.29,-2.94,1.56,1.7,0.51,-13.13,-16.75,20.81,34.63,14.328,1,1,ON,
2019-08-1410:11:41.5170,0.29,-2.94,1.56,1.7,0.51,-13.13,-5.56,21.62,33.13,14.4,1,1,ON,
2019-08-1410:11:41.6660,0.29,-2.94,1.56,1.7,0.51,-13.13,10.13,28.0,31.81,13.826,1,1,ON,
2019-08-1410:11:41.6780,0.29,-2.94,1.56,1.7,0.51,-13.13,10.44,28.0,26.81,14.346,1,1,ON,
2019-08-1410:11:41.8240,0.29,-2.94,1.56,1.7,0.51,-13.13,-15.81,20.19,37.13,14.354,1,1,ON,
2019-08-1410:11:41.9720,0.29,-2.94,1.56,-6.0,3.96,-5.43,-15.81,20.19,37.13,14.267,1,1,ON,
2019-08-1410:11:41.9860,0.29,-2.94,1.56,3.11,0.4,-9.73,-15.81,20.19,37.13,14.273,1,1,ON,
2019-08-1410:11:42.1330,-0.47,0.13,-0.12,3.11,0.4,-9.73,-15.81,20.19,37.13,14.01,1,1,ON,
2019-08-1410:11:42.2800,-2.43,-3.91,0.78,3.11,0.4,-9.73,-15.81,20.19,37.13,14.034,1,1,ON,
2019-08-1410:11:42.2920,3.37,0.39,3.92,3.11,0.4,-9.73,-15.81,20.19,37.13,14.061,1,1,ON,
2019-08-1410:11:42.4380,3.37,0.39,3.92,-4.47,2.5,1.35,-15.81,20.19,37.13,14.352,1,1,ON,
2019-08-1410:11:42.5820,-2.12,2.53,-3.65,-4.47,2.5,1.35,-15.81,20.19,37.13,14.353,1,1,ON,
2019-08-1410:11:42.5940,-2.12,2.53,-3.65,-4.47,2.5,1.35,-29.25,19.12,28.25,14.102,1,1,ON,
2019-08-1410:11:42.7390,-2.12,2.53,-3.65,-4.47,2.5,1.35,-26.56,17.87,25.5,14.069,1,1,ON,
2019-08-1410:11:42.7530,0.05,-0.56,0.09,-4.47,2.5,1.35,-26.56,17.87,25.5,14.089,1,1,ON,
2019-08-1410:11:42.8940,0.31,-0.34,0.14,-4.47,2.5,1.35,-26.56,17.87,25.5,14.1,1,1,ON,
2019-08-1410:11:43.0410,0.31,-0.34,0.14,4.3,1.66,-8.19,-26.56,17.87,25.5,14.104,1,1,ON,
2019-08-1410:11:43.0550,0.23,-0.18,0.02,4.3,1.66,-8.19,-26.56,17.87,25.5,14.195,1,1,ON,
2019-08-1410:11:43.1930,-0.06,-0.18,-0.24,4.3,1.66,-8.19,-26.56,17.87,25.5,14.177,1,1,ON,
2019-08-1410:11:43.3390,0.18,-0.29,-0.1,4.3,1.66,-8.19,-26.56,17.87,25.5,14.19,1,1,ON,
2019-08-1410:11:43.3530,0.91,-0.46,0.07,4.3,1.66,-8.19,-26.56,17.87,25.5,14.225,1,1,ON,
2019-08-1410:11:43.4920,1.79,0.73,0.34,4.3,1.66,-8.19,-26.56,17.87,25.5,14.297,1,1,ON,
2019-08-1410:11:43.6350,1.83,1.17,-0.13,4.3,1.66,-8.19,-26.56,17.87,25.5,13.859,1,1,ON,
2019-08-1410:11:43.6480,0.55,0.28,-1.19,4.3,1.66,-8.19,-26.56,17.87,25.5,13.94,1,1,ON,
2019-08-1410:11:43.7900,0.55,0.28,-1.19,4.3,1.66,-8.19,-18.75,35.69,17.44,14.031,1,1,ON,
2019-08-1410:11:43.9310,0.55,0.28,-1.19,4.3,1.66,-8.19,-7.19,36.56,15.56,14.355,1,1,ON,
2019-08-1410:11:44.0740,0.64,0.56,1.71,4.3,1.66,-8.19,-7.19,36.56,15.56,14.024,1,1,ON,
