Timestamp,GYRO_X,GYRO_Y,GYRO_Z,ACCEL_X,ACCEL_Y,ACCEL_Z,MAG_X,MAG_Y,MAG_Z,FDC,REED1,REED2,CAP_STATUS
2019-08-1410:11:23.7070,-0.2,0.33,-1.09,7.67,-1.82,-6.2,-52.81,55.44,19.31,13.978,1,1,ON,
2019-08-1410:11:23.7960,-0.53,0.9,-2.01,7.67,-1.82,-6.2,-52.81,55.44,19.31,13.918,1,1,ON,
2019-08-1410:11:23.9160,-0.53,0.9,-2.01,6.6,-2.9,-6.01,-52.81,55.44,19.31,14.199,1,1,ON,
2019-08-1410:11:23.9760,-1.01,0.56,-1.12,6.6,-2.9,-6.01,-52.81,55.44,19.31,14.198,1,1,ON,
2019-08-1410:11:24.0960,-5.46,-8.35,-5.41,6.6,-2.9,-6.01,-52.81,55.44,19.31,14.358,1,1,ON,
2019-08-1410:11:24.1860,-6.2,-10.64,-1.97,6.6,-2.9,-6.01,-52.81,55.44,19.31,13.884,1,1,ON,
2019-08-1410:11:24.3060,1.54,2.04,-2.12,6.6,-2.9,-6.01,-52.81,55.44,19.31,13.834,1,1,ON,
2019-08-1410:11:24.3960,1.54,2.04,-2.12,6.6,-2.9,-6.01,3.5,39.94,38.56,14.013,1,1,ON,
2019-08-1410:11:24.4860,5.78,11.07,-2.45,6.6,-2.9,-6.01,3.5,39.94,38.56,13.094,1,1,ON,
2019-08-1410:11:24.5760,5.78,11.07,-2.45,7.13,-4.85,-4.09,3.5,39.94,38.56,13.446,1,1,ON,
2019-08-1410:11:24.6960,5.78,11.07,-2.45,7.13,-4.85,-4.09,-38.06,4.81,12.5,13.962,1,1,ON,
2019-08-1410:11:24.7860,-2.78,-7.54,-8.41,7.13,-4.85,-4.09,-38.06,4.81,12.5,13.892,1,1,ON,
2019-08-1410:11:24.9060,7.13,-7.02,-2.45,7.13,-4.85,-4.09,-38.06,4.81,12.5,14.247,1,1,ON,
2019-08-1410:11:24.9960,3.67,1.45,-1.33,7.13,-4.85,-4.09,-38.06,4.81,12.5,13.906,1,1,ON,
2019-08-1410:11:25.0860,2.2,8.87,-1.18,7.13,-4.85,-4.09,-38.06,4.81,12.5,13.871,1,1,ON,
2019-08-1410:11:25.1760,-2.07,10.2,-2.15,7.13,-4.85,-4.09,-38.06,4.81,12.5,13.516,1,1,ON,
2019-08-1410:11:25.2960,-6.39,-0.79,-3.69,7.13,-4.85,-4.09,-38.06,4.81,12.5,13.843,1,1,ON,
2019-08-1410:11:25.3860,-6.39,-0.79,-3.69,6.06,3.96,-6.85,-38.06,4.81,12.5,14.086,1,1,ON,
2019-08-1410:11:25.4760,3.37,-6.5,-6.21,6.06,3.96,-6.85,-38.06,4.81,12.5,14.26,1,1,ON,
2019-08-1410:11:25.5660,3.37,-6.5,-6.21,6.06,3.96,-6.85,15.5,-9.06,39.69,14.354,1,1,ON,
2019-08-1410:11:25.6860,3.37,-6.5,-6.21,-5.62,-2.05,-6.47,15.5,-9.06,39.69,14.217,1,1,ON,
2019-08-1410:11:25.7760,2.73,9.49,0.2,-5.62,-2.05,-6.47,15.5,-9.06,39.69,14.028,1,1,ON,
2019-08-1410:11:25.8960,-1.37,9.34,-1.74,-5.62,-2.05,-6.47,15.5,-9.06,39.69,13.645,1,1,ON,
2019-08-1410:11:25.9860,-1.37,9.34,-1.74,8.21,-0.75,-5.51,15.5,-9.06,39.69,13.941,1,1,ON,
2019-08-1410:11:26.0750,-1.37,9.34,-1.74,3.34,3.2,-7.23,15.5,-9.06,39.69,14.175,1,1,ON,
2019-08-1410:11:26.1650,-1.37,9.34,-1.74,-4.24,7.14,-10.49,15.5,-9.06,39.69,14.271,1,1,ON,
2019-08-1410:11:26.2850,-1.37,9.34,-1.74,-7.54,0.17,-6.16,15.5,-9.06,39.69,14.338,1,1,ON,
2019-08-1410:11:26.3750,-1.37,9.34,-1.74,-7.54,0.17,-6.16,7.69,12.94,40.06,14.23,1,1,ON,
2019-08-1410:11:26.4950,-1.37,9.34,-1.74,-7.54,0.17,-6.16,-22.56,27.5,25.37,13.975,1,1,ON,
2019-08-1410:11:26.5740,-1.9,5.14,-3.1,-7.54,0.17,-6.16,-22.56,27.5,25.37,13.763,1,1,ON,
2019-08-1410:11:26.6750,-1.9,5.14,-3.1,-7.54,0.17,-6.16,-44.31,4.06,-1.81,13.948,1,1,ON,
2019-08-1410:11:26.7650,-1.9,5.14,-3.1,5.87,3.84,-5.59,-44.31,4.06,-1.81,14.262,1,1,ON,
2019-08-1410:11:26.8850,-1.9,5.14,-3.1,2.19,4.77,-7.7,-44.31,4.06,-1.81,14.15,1,1,ON,
2019-08-1410:11:26.9750,1.59,-3.13,-2.24,2.19,4.77,-7.7,-44.31,4.06,-1.81,14.406,1,1,ON,
