Timestamp,GYRO_X,GYRO_Y,GYRO_Z,ACCEL_X,ACCEL_Y,ACCEL_Z,MAG_X,MAG_Y,MAG_Z,FDC,REED1,REED2,CAP_STATUS
2019-08-1310:08:46.3740,0.26,-0.11,0.31,6.96,3.52,-5.75,-42.19,-30.62,11.56,13.961,1,0,ON,
2019-08-1310:08:46.4630,0.26,-0.11,0.31,7.8,2.37,-7.05,-42.19,-30.62,11.56,13.893,1,0,ON,
2019-08-1310:08:46.5830,0.26,-0.11,0.31,7.8,2.37,-7.05,-45.44,-16.44,20.87,13.89,1,0,ON,
2019-08-1310:08:46.6840,-0.07,0.53,0.4,7.8,2.37,-7.05,-45.44,-16.44,20.87,13.934,1,0,ON,
2019-08-1310:08:46.7930,-0.07,0.53,0.4,8.42,0.64,-7.16,-45.44,-16.44,20.87,13.873,1,0,ON,
2019-08-1310:08:46.8830,0.22,-1.18,0.69,8.42,0.64,-7.16,-45.44,-16.44,20.87,13.992,1,0,ON,
2019-08-1310:08:46.9730,-0.06,-0.2,-0.31,8.42,0.64,-7.16,-45.44,-16.44,20.87,14.107,1,0,ON,
2019-08-1310:08:47.0930,-0.2,-4.12,-1.72,8.42,0.64,-7.16,-45.44,-16.44,20.87,14.339,1,0,ON,
2019-08-1310:08:47.1830,-4.06,-9.49,-1.26,8.42,0.64,-7.16,-45.44,-16.44,20.87,13.56,1,0,ON,
2019-08-1310:08:47.2730,-7.55,-6.47,1.13,8.42,0.64,-7.16,-45.44,-16.44,20.87,11.816,1,0,ON,
2019-08-1310:08:47.3630,1.61,1.81,7.04,8.42,0.64,-7.16,-45.44,-16.44,20.87,11.753,1,0,ON,
2019-08-1310:08:47.4530,5.16,3.1,9.44,8.42,0.64,-7.16,-45.44,-16.44,20.87,13.446,1,0,ON,
2019-08-1310:08:47.5730,5.16,3.1,9.44,4.82,3.32,-7.62,-45.44,-16.44,20.87,13.981,1,0,ON,
2019-08-1310:08:47.6630,5.16,3.1,9.44,4.82,3.32,-7.62,-43.19,-3.62,27.06,13.976,1,0,ON,
2019-08-1310:08:47.7830,-0.79,-4.7,-0.85,4.82,3.32,-7.62,-43.19,-3.62,27.06,14.277,1,0,ON,
2019-08-1310:08:47.8730,-5.76,-3.58,0.15,4.82,3.32,-7.62,-43.19,-3.62,27.06,13.713,1,0,ON,
2019-08-1310:08:47.9630,-8.04,-4.15,-0.9,4.82,3.32,-7.62,-43.19,-3.62,27.06,12.188,1,0,ON,
2019-08-1310:08:48.0530,-5.14,-1.61,1.56,4.82,3.32,-7.62,-43.19,-3.62,27.06,11.996,1,0,ON,
2019-08-1310:08:48.1730,0.25,1.04,5.73,4.82,3.32,-7.62,-43.19,-3.62,27.06,11.73,1,0,ON,
2019-08-1310:08:48.2630,0.25,1.04,5.73,8.49,7.12,-2.49,-43.19,-3.62,27.06,13.633,1,0,ON,
2019-08-1310:08:48.3530,9.18,-0.68,2.19,8.49,7.12,-2.49,-43.19,-3.62,27.06,13.863,1,0,ON,
2019-08-1310:08:48.4430,3.24,-2.37,-1.87,8.49,7.12,-2.49,-43.19,-3.62,27.06,13.904,1,0,ON,
2019-08-1310:08:48.5630,1.17,-5.83,-1.96,8.49,7.12,-2.49,-43.19,-3.62,27.06,14.167,1,0,ON,
2019-08-1310:08:48.6530,1.17,-5.83,-1.96,8.49,7.12,-2.49,-7.87,3.56,48.81,14.206,1,0,ON,
2019-08-1310:08:48.7730,-8.57,-4.2,2.12,8.49,7.12,-2.49,-7.87,3.56,48.81,13.151,1,0,ON,
2019-08-1310:08:48.8630,-8.57,-4.2,2.12,8.49,7.12,-2.49,24.87,-44.13,8.0,11.936,1,0,ON,
2019-08-1310:08:48.9530,0.76,3.28,6.58,8.49,7.12,-2.49,24.87,-44.13,8.0,12.717,1,0,ON,
2019-08-1310:08:49.0430,0.76,3.28,6.58,5.85,9.99,-4.56,24.87,-44.13,8.0,13.717,1,0,ON,
2019-08-1310:08:49.1630,5.61,-0.82,3.04,5.85,9.99,-4.56,24.87,-44.13,8.0,13.611,1,0,ON,
2019-08-1310:08:49.2530,5.61,-0.82,3.04,7.3,-0.28,-6.74,24.87,-44.13,8.0,13.824,1,0,ON,
2019-08-1310:08:49.3730,2.06,-3.26,-0.34,7.3,-0.28,-6.74,24.87,-44.13,8.0,13.949,1,0,ON,
2019-08-1310:08:49.4630,2.06,-3.26,-0.34,4.43,-3.95,-8.54,24.87,-44.13,8.0,14.142,1,0,ON,
2019-08-1310:08:49.5530,-0.52,-2.32,-0.33,4.43,-3.95,-8.54,24.87,-44.13,8.0,14.211,1,0,ON,
2019-08-1310:08:49.6430,-0.52,-2.32,-0.33,4.43,-3.95,-8.54,-11.06,7.87,48.19,14.188,1,0,ON,
2019-08-1310:08:49.7630,-0.52,-2.32,-0.33,4.43,-3.95,-8.54,-11.44,6.5,49.0,14.219,1,0,ON,
2019-08-1310:08:49.8530,-1.44,-1.37,-0.27,4.43,-3.95,-8.54,-11.44,6.5,49.0,14.311,1,0,ON,
2019-08-1310:08:49.9430,-1.44,-1.37,-0.27,4.43,-3.95,-8.54,6.56,-19.12,46.5,13.505,1,0,ON,
2019-08-1310:08:50.0330,-9.95,-2.36,1.56,4.43,-3.95,-8.54,6.56,-19.12,46.5,12.105,1,0,ON,
2019-08-1310:08:50.1530,-9.95,-2.36,1.56,0.64,8.54,1.15,6.56,-19.12,46.5,12.37,1,0,ON,
2019-08-1310:08:50.2440,-1.03,-0.57,8.73,0.64,8.54,1.15,6.56,-19.12,46.5,12.209,1,0,ON,
2019-08-1310:08:50.3630,-4.29,0.89,0.01,0.64,8.54,1.15,6.56,-19.12,46.5,12.467,1,0,ON,
2019-08-1310:08:50.4600,-4.29,0.89,0.01,9.99,5.01,3.76,6.56,-19.12,46.5,12.285,1,0,ON,
2019-08-1310:08:50.5600,-4.29,0.89,0.01,10.71,11.41,3.87,6.56,-19.12,46.5,12.97,1,0,ON,
2019-08-1310:08:50.6630,-9.91,-0.02,0.0,10.71,11.41,3.87,6.56,-19.12,46.5,13.201,1,0,ON,
2019-08-1310:08:50.7630,-9.91,-0.02,0.0,0.68,0.41,8.2,6.56,-19.12,46.5,12.913,1,0,ON,
2019-08-1310:08:50.8670,-0.65,0.06,0.04,0.68,0.41,8.2,6.56,-19.12,46.5,12.806,1,0,ON,
2019-08-1310:08:50.9730,-0.65,0.06,0.04,0.68,0.41,8.2,-17.25,9.0,-38.5,12.781,1,0,ON,
2019-08-1310:08:51.0780,-0.65,0.06,0.04,0.68,0.41,8.2,-18.69,8.5,-42.5,12.785,1,0,ON,
2019-08-1310:08:51.1850,0.09,-0.22,0.17,0.68,0.41,8.2,-18.69,8.5,-42.5,12.786,1,0,ON,
2019-08-1310:08:51.2980,0.17,-0.23,0.11,0.68,0.41,8.2,-18.69,8.5,-42.5,12.794,1,0,ON,
2019-08-1310:08:51.4170,1.41,-0.72,-0.19,0.68,0.41,8.2,-18.69,8.5,-42.5,12.802,1,0,ON,
2019-08-1310:08:51.5310,1.41,-0.72,-0.19,0.87,-0.66,9.85,-18.69,8.5,-42.5,12.658,1,0,ON,
2019-08-1310:08:51.5430,6.09,-6.0,0.07,0.87,-0.66,9.85,-18.69,8.5,-42.5,13.089,1,0,ON,
2019-08-1310:08:51.6630,6.09,-6.0,0.07,0.87,-0.66,9.85,-37.44,-15.06,27.87,13.548,1,0,ON,
2019-08-1310:08:51.7820,6.63,0.77,-1.24,0.87,-0.66,9.85,-37.44,-15.06,27.87,13.803,1,0,ON,
2019-08-1310:08:51.9060,6.63,0.77,-1.24,0.87,-0.66,9.85,-36.75,16.75,25.0,13.696,1,0,ON,
2019-08-1310:08:52.0290,-0.13,-1.21,0.2,0.87,-0.66,9.85,-36.75,16.75,25.0,13.889,1,0,ON,
2019-08-1310:08:52.0410,-0.13,-1.21,0.2,0.87,-0.66,9.85,-29.69,17.25,32.56,13.929,1,0,ON,
2019-08-1310:08:52.1670,-0.13,-1.21,0.2,0.87,-0.66,9.85,-26.69,20.44,36.63,13.957,1,0,ON,
2019-08-1310:08:52.2950,-1.51,-0.65,-0.59,0.87,-0.66,9.85,-26.69,20.44,36.63,14.319,1,0,ON,
2019-08-1310:08:52.4240,-1.51,-0.65,-0.59,2.48,-2.96,-10.0,-26.69,20.44,36.63,14.291,1,0,ON,
2019-08-1310:08:52.4380,-0.56,1.01,-2.95,2.48,-2.96,-10.0,-26.69,20.44,36.63,14.273,1,0,ON,
2019-08-1310:08:52.5720,-0.71,1.11,-3.43,2.48,-2.96,-10.0,-26.69,20.44,36.63,14.221,1,0,ON,
2019-08-1310:08:52.7080,-0.71,1.11,-3.43,4.66,1.95,-7.81,-26.69,20.44,36.63,14.154,1,0,ON,
2019-08-1310:08:52.8430,-1.48,0.51,0.17,4.66,1.95,-7.81,-26.69,20.44,36.63,14.145,1,0,ON,
2019-08-1310:08:52.8560,-1.48,0.51,0.17,4.66,1.95,-7.81,-29.19,-32.63,21.75,14.058,1,0,ON,
2019-08-1310:08:52.9850,-1.48,0.51,0.17,4.66,1.95,-7.81,-28.44,-33.94,23.37,14.061,1,0,ON,
2019-08-1310:08:53.1190,-1.48,0.51,0.17,4.66,1.95,-7.81,-22.87,-37.25,26.0,14.332,1,0,ON,
2019-08-1310:08:53.1320,-1.48,0.51,0.17,4.66,1.95,-7.81,-0.25,-27.5,42.81,14.384,1,0,ON,
2019-08-1310:08:53.2650,0.31,-4.95,1.34,4.66,1.95,-7.81,-0.25,-27.5,42.81,14.111,1,0,ON,
2019-08-1310:08:53.4050,-0.13,0.14,2.65,4.66,1.95,-7.81,-0.25,-27.5,42.81,14.122,1,0,ON,
2019-08-1310:08:53.5460,-0.13,0.14,2.65,-3.65,4.55,-7.96,-0.25,-27.5,42.81,14.26,1,0,ON,
2019-08-1310:08:53.5580,-0.13,0.14,2.65,2.09,2.52,-10.5,-0.25,-27.5,42.81,14.192,1,0,ON,
2019-08-1310:08:53.6970,6.24,0.22,3.46,2.09,2.52,-10.5,-0.25,-27.5,42.81,13.784,1,0,ON,
2019-08-1310:08:53.8370,6.24,0.22,3.46,3.05,-5.75,-8.54,-0.25,-27.5,42.81,13.688,1,0,ON,
2019-08-1310:08:53.8510,-10.33,-10.89,0.14,3.05,-5.75,-8.54,-0.25,-27.5,42.81,13.801,1,0,ON,
2019-08-1310:08:53.9930,-6.97,-3.59,2.88,3.05,-5.75,-8.54,-0.25,-27.5,42.81,12.701,1,0,ON,
2019-08-1310:08:54.1360,-6.97,-3.59,2.88,3.05,-5.75,-8.54,19.25,-46.13,-2.75,13.491,1,0,ON,
2019-08-1310:08:54.1500,-6.97,-3.59,2.88,3.93,9.38,-9.84,19.25,-46.13,-2.75,14.047,1,0,ON,
2019-08-1310:08:54.2860,-6.97,-3.59,2.88,5.39,1.29,-12.14,19.25,-46.13,-2.75,13.829,1,0,ON,
2019-08-1310:08:54.4270,0.46,-5.66,-1.27,5.39,1.29,-12.14,19.25,-46.13,-2.75,13.758,1,0,ON,
